"'"
"2003 Representation Order Federal Electroral District(FED) to 2013 Representation Order Federal Electroral District*"

"Province or territory","New FED number- 2013","New FED name- 2013","Old FED number- 2003","Old FED name- 2003"
"Newfoundland and Labrador",10001,"Avalon",10001,"Avalon"
"Newfoundland and Labrador",10001,"Avalon",10006,"St. John's East"
"Newfoundland and Labrador",10002,"Bonavista--Burin--Trinity",10001,"Avalon"
"Newfoundland and Labrador",10002,"Bonavista--Burin--Trinity",10002,"Bonavista - Gander - Grand Falls - Windsor"
"Newfoundland and Labrador",10002,"Bonavista--Burin--Trinity",10005,"Random - Burin - St. George's"
"Newfoundland and Labrador",10003,"Coast of Bays--Central--Notre Dame",10002,"Bonavista - Gander - Grand Falls - Windsor"
"Newfoundland and Labrador",10003,"Coast of Bays--Central--Notre Dame",10003,"Humber - St. Barbe - Baie Verte"
"Newfoundland and Labrador",10003,"Coast of Bays--Central--Notre Dame",10005,"Random - Burin - St. George's"
"Newfoundland and Labrador",10004,"Labrador",10004,"Labrador"
"Newfoundland and Labrador",10005,"Long Range Mountains",10003,"Humber - St. Barbe - Baie Verte"
"Newfoundland and Labrador",10005,"Long Range Mountains",10005,"Random - Burin - St. George's"
"Newfoundland and Labrador",10006,"St. John's East",10006,"St. John's East"
"Newfoundland and Labrador",10006,"St. John's East",10007,"St. John's South - Mount Pearl"
"Newfoundland and Labrador",10007,"St. John's South--Mount Pearl",10001,"Avalon"
"Newfoundland and Labrador",10007,"St. John's South--Mount Pearl",10007,"St. John's South - Mount Pearl"
"Prince Edward Island",11001,"Cardigan",11001,"Cardigan"
"Prince Edward Island",11002,"Charlottetown",11002,"Charlottetown"
"Prince Edward Island",11003,"Egmont",11003,"Egmont"
"Prince Edward Island",11004,"Malpeque",11004,"Malpeque"
"Nova Scotia",12001,"Cape Breton--Canso",12001,"Cape Breton - Canso"
"Nova Scotia",12001,"Cape Breton--Canso",12002,"Central Nova"
"Nova Scotia",12002,"Central Nova",12002,"Central Nova"
"Nova Scotia",12002,"Central Nova",12007,"Cumberland - Colchester - Musquodoboit Valley"
"Nova Scotia",12002,"Central Nova",12008,"Sackville - Eastern Shore"
"Nova Scotia",12003,"Cumberland--Colchester",12007,"Cumberland - Colchester - Musquodoboit Valley"
"Nova Scotia",12004,"Dartmouth--Cole Harbour",12003,"Dartmouth - Cole Harbour"
"Nova Scotia",12004,"Dartmouth--Cole Harbour",12008,"Sackville - Eastern Shore"
