Electoral district number,Electoral district name,Political affiliation (2011),% Votes obtained (2011)
59001,Abbotsford,Conservative ,66.9
59001,Abbotsford,NDP-New Democratic Party ,19.2
59001,Abbotsford,Liberal ,8.7
59001,Abbotsford,Bloc Quebecois ,0.0
59001,Abbotsford,Green Party ,4.7
59001,Abbotsford,Other ,0.5
24001,Abitibi--Baie-James--Nunavik--Eeyou,Conservative ,22.6
24001,Abitibi--Baie-James--Nunavik--Eeyou,NDP-New Democratic Party ,44.8
24001,Abitibi--Baie-James--Nunavik--Eeyou,Liberal ,10.5
24001,Abitibi--Baie-James--Nunavik--Eeyou,Bloc Quebecois ,18.3
24001,Abitibi--Baie-James--Nunavik--Eeyou,Green Party ,3.9
24001,Abitibi--Baie-James--Nunavik--Eeyou,Other ,0.0
24002,Abitibi--Temiscamingue,Conservative ,9.9
24002,Abitibi--Temiscamingue,NDP-New Democratic Party ,51.2
24002,Abitibi--Temiscamingue,Liberal ,5.9
24002,Abitibi--Temiscamingue,Bloc Quebecois ,31.5
24002,Abitibi--Temiscamingue,Green Party ,1.4
24002,Abitibi--Temiscamingue,Other ,0.0
13001,Acadie--Bathurst,Conservative ,16.5
13001,Acadie--Bathurst,NDP-New Democratic Party ,69.1
13001,Acadie--Bathurst,Liberal ,14.3
13001,Acadie--Bathurst,Bloc Quebecois ,0.0
13001,Acadie--Bathurst,Green Party ,0.1
13001,Acadie--Bathurst,Other ,0.0
24003,Ahuntsic-Cartierville,Conservative ,8.6
24003,Ahuntsic-Cartierville,NDP-New Democratic Party ,29.9
24003,Ahuntsic-Cartierville,Liberal ,31.1
24003,Ahuntsic-Cartierville,Bloc Quebecois ,28.3
24003,Ahuntsic-Cartierville,Green Party ,1.5
24003,Ahuntsic-Cartierville,Other ,0.6
35001,Ajax,Conservative ,44.2
35001,Ajax,NDP-New Democratic Party ,15.0
35001,Ajax,Liberal ,37.9
35001,Ajax,Bloc Quebecois ,0.0
35001,Ajax,Green Party ,2.7
35001,Ajax,Other ,0.1
24004,Alfred-Pellan,Conservative ,11.2
24004,Alfred-Pellan,NDP-New Democratic Party ,42.2
24004,Alfred-Pellan,Liberal ,22.3
24004,Alfred-Pellan,Bloc Quebecois ,22.4
24004,Alfred-Pellan,Green Party ,1.5
24004,Alfred-Pellan,Other ,0.5
35002,Algoma--Manitoulin--Kapuskasing,Conservative ,32.5
35002,Algoma--Manitoulin--Kapuskasing,NDP-New Democratic Party ,49.9
35002,Algoma--Manitoulin--Kapuskasing,Liberal ,14.5
35002,Algoma--Manitoulin--Kapuskasing,Bloc Quebecois ,0.0
35002,Algoma--Manitoulin--Kapuskasing,Green Party ,3.1
35002,Algoma--Manitoulin--Kapuskasing,Other ,0.0
24005,Argenteuil--La Petite-Nation,Conservative ,14.7
24005,Argenteuil--La Petite-Nation,NDP-New Democratic Party ,45.0
24005,Argenteuil--La Petite-Nation,Liberal ,13.7
24005,Argenteuil--La Petite-Nation,Bloc Quebecois ,23.3
24005,Argenteuil--La Petite-Nation,Green Party ,2.6
24005,Argenteuil--La Petite-Nation,Other ,0.6
35003,Aurora--Oak Ridges--Richmond Hill,Conservative ,51.5
35003,Aurora--Oak Ridges--Richmond Hill,NDP-New Democratic Party ,16.0
35003,Aurora--Oak Ridges--Richmond Hill,Liberal ,27.9
35003,Aurora--Oak Ridges--Richmond Hill,Bloc Quebecois ,0.0
35003,Aurora--Oak Ridges--Richmond Hill,Green Party ,3.5
35003,Aurora--Oak Ridges--Richmond Hill,Other ,1.2
10001,Avalon,Conservative ,37.1
10001,Avalon,NDP-New Democratic Party ,28.5
10001,Avalon,Liberal ,33.2
10001,Avalon,Bloc Quebecois ,0.0
10001,Avalon,Green Party ,0.6
10001,Avalon,Other ,0.6
24006,Avignon--La Mitis--Matane--Matapedia,Conservative ,13.2
24006,Avignon--La Mitis--Matane--Matapedia,NDP-New Democratic Party ,26.6
24006,Avignon--La Mitis--Matane--Matapedia,Liberal ,23.2
24006,Avignon--La Mitis--Matane--Matapedia,Bloc Quebecois ,34.5
24006,Avignon--La Mitis--Matane--Matapedia,Green Party ,2.5
24006,Avignon--La Mitis--Matane--Matapedia,Other ,0.0
48001,Banff--Airdrie,Conservative ,70.7
48001,Banff--Airdrie,NDP-New Democratic Party ,13.1
48001,Banff--Airdrie,Liberal ,8.1
48001,Banff--Airdrie,Bloc Quebecois ,0.0
48001,Banff--Airdrie,Green Party ,7.7
48001,Banff--Airdrie,Other ,0.4
35004,Barrie--Innisfil,Conservative ,61.3
35004,Barrie--Innisfil,NDP-New Democratic Party ,20.3
35004,Barrie--Innisfil,Liberal ,12.5
35004,Barrie--Innisfil,Bloc Quebecois ,0.0
35004,Barrie--Innisfil,Green Party ,5.3
35004,Barrie--Innisfil,Other ,0.6
35005,Barrie--Springwater--Oro-Medonte,Conservative ,54.6
35005,Barrie--Springwater--Oro-Medonte,NDP-New Democratic Party ,20.0
35005,Barrie--Springwater--Oro-Medonte,Liberal ,16.9
35005,Barrie--Springwater--Oro-Medonte,Bloc Quebecois ,0.0
35005,Barrie--Springwater--Oro-Medonte,Green Party ,6.1
35005,Barrie--Springwater--Oro-Medonte,Other ,2.4
47001,Battlefords--Lloydminster,Conservative ,65.9
47001,Battlefords--Lloydminster,NDP-New Democratic Party ,28.1
47001,Battlefords--Lloydminster,Liberal ,3.4
47001,Battlefords--Lloydminster,Bloc Quebecois ,0.0
47001,Battlefords--Lloydminster,Green Party ,2.6
47001,Battlefords--Lloydminster,Other ,0.0
48002,Battle River--Crowfoot,Conservative ,83.1
48002,Battle River--Crowfoot,NDP-New Democratic Party ,9.8
48002,Battle River--Crowfoot,Liberal ,2.2
48002,Battle River--Crowfoot,Bloc Quebecois ,0.0
48002,Battle River--Crowfoot,Green Party ,3.9
48002,Battle River--Crowfoot,Other ,1.0
35006,Bay of Quinte,Conservative ,51.8
35006,Bay of Quinte,NDP-New Democratic Party ,23.0
35006,Bay of Quinte,Liberal ,20.9
35006,Bay of Quinte,Bloc Quebecois ,0.0
35006,Bay of Quinte,Green Party ,3.8
35006,Bay of Quinte,Other ,0.5
35007,Beaches--East York,Conservative ,22.7
35007,Beaches--East York,NDP-New Democratic Party ,41.6
35007,Beaches--East York,Liberal ,30.8
35007,Beaches--East York,Bloc Quebecois ,0.0
35007,Beaches--East York,Green Party ,4.6
