2013 FED Number,2013 FED Name,All votes,Conservative votes,NDP-New Democratic Party votes,Liberal votes,Bloc Quebecois votes,Green Party votes,Other votes,Province and territory numeric code,2013 FED - Population,2003 FED - 2011 Population,Population transferred to 2013 FED
10001,Avalon,14,4,1,9,0,0,0,10,81540,78908,59548
10001,Avalon,45,30,5,10,0,1,0,10,81540,78908,59548
10001,Avalon,46,18,4,24,0,0,0,10,81540,78908,59548
10001,Avalon,2335,1046,194,1069,0,15,11,10,81540,78908,59548
10001,Avalon,33,15,3,14,0,0,1,10,81540,78908,59548
10001,Avalon,49,23,2,21,0,1,1,10,81540,78908,59548
10001,Avalon,293,86,21,174,0,6,6,10,81540,78908,59548
10001,Avalon,1,0,0,0,0,0,0,10,81540,78908,59548
10001,Avalon,23403,9851,3592,9656,0,126,178,10,81540,78908,59548
10001,Avalon,102,64,8,27,0,1,1,10,81540,78908,59548
10001,Avalon,478,203,28,241,0,3,2,10,81540,78908,59548
10001,Avalon,121,30,84,8,0,0,0,10,81540,100559,21992
10001,Avalon,236,54,160,19,0,2,0,10,81540,100559,21992
10001,Avalon,479,98,343,32,0,6,0,10,81540,100559,21992
10001,Avalon,124,37,54,30,0,3,0,10,81540,100559,21992
10001,Avalon,105,19,78,6,0,2,0,10,81540,100559,21992
10001,Avalon,7488,1551,5441,443,0,53,0,10,81540,100559,21992
10001,Avalon,42,21,11,8,0,2,0,10,81540,100559,21992
10001,Avalon,232,64,135,29,0,4,0,10,81540,100559,21992
10002,Bonavista--Burin--Trinity,23,9,2,12,0,0,0,10,76704,78908,16898
10002,Bonavista--Burin--Trinity,143,39,7,92,0,4,1,10,76704,78908,16898
10002,Bonavista--Burin--Trinity,252,72,19,158,0,1,2,10,76704,78908,16898
10002,Bonavista--Burin--Trinity,24,12,1,11,0,0,1,10,76704,78908,16898
10002,Bonavista--Burin--Trinity,51,15,5,30,0,0,1,10,76704,78908,16898
10002,Bonavista--Burin--Trinity,7633,2486,1050,3988,0,49,60,10,76704,78908,16898
10002,Bonavista--Burin--Trinity,30,19,2,8,0,0,0,10,76704,78908,16898
10002,Bonavista--Burin--Trinity,141,60,8,71,0,1,1,10,76704,78908,16898
10002,Bonavista--Burin--Trinity,0,0,0,0,0,0,0,10,76704,84735,27780
10002,Bonavista--Burin--Trinity,17,9,3,5,0,1,0,10,76704,84735,27780
10002,Bonavista--Burin--Trinity,465,107,62,290,0,6,0,10,76704,84735,27780
10002,Bonavista--Burin--Trinity,24,6,0,17,0,0,0,10,76704,84735,27780
10002,Bonavista--Burin--Trinity,177,48,7,120,0,2,0,10,76704,84735,27780
10002,Bonavista--Burin--Trinity,1,0,0,0,0,0,0,10,76704,84735,27780
10002,Bonavista--Burin--Trinity,8910,2449,1357,5013,0,91,0,10,76704,84735,27780
10002,Bonavista--Burin--Trinity,53,31,4,18,0,1,0,10,76704,84735,27780
10002,Bonavista--Burin--Trinity,182,52,13,115,0,1,0,10,76704,84735,27780
10002,Bonavista--Burin--Trinity,33,14,2,17,0,0,0,10,76704,69192,32026
10002,Bonavista--Burin--Trinity,610,202,60,342,0,6,0,10,76704,69192,32026
10002,Bonavista--Burin--Trinity,200,57,6,135,0,2,0,10,76704,69192,32026
10002,Bonavista--Burin--Trinity,111,45,16,49,0,1,0,10,76704,69192,32026
10002,Bonavista--Burin--Trinity,11439,3552,1653,6135,0,99,0,10,76704,69192,32026
10002,Bonavista--Burin--Trinity,112,66,7,35,0,4,0,10,76704,69192,32026
10002,Bonavista--Burin--Trinity,227,62,18,145,0,2,0,10,76704,69192,32026
10003,Coast of Bays--Central--Notre Dame,9,5,1,3,0,0,0,10,78092,84735,56955
10003,Coast of Bays--Central--Notre Dame,196,43,21,132,0,0,0,10,78092,84735,56955
10003,Coast of Bays--Central--Notre Dame,1404,399,138,855,0,12,0,10,78092,84735,56955
10003,Coast of Bays--Central--Notre Dame,47,12,1,35,0,0,0,10,78092,84735,56955
10003,Coast of Bays--Central--Notre Dame,208,47,21,138,0,2,0,10,78092,84735,56955
10003,Coast of Bays--Central--Notre Dame,50,25,1,24,0,1,0,10,78092,84735,56955
10003,Coast of Bays--Central--Notre Dame,18950,5198,2643,10951,0,158,0,10,78092,84735,56955
10003,Coast of Bays--Central--Notre Dame,105,60,8,35,0,1,0,10,78092,84735,56955
10003,Coast of Bays--Central--Notre Dame,359,104,26,227,0,3,0,10,78092,84735,56955
10003,Coast of Bays--Central--Notre Dame,204,84,22,93,0,5,0,10,78092,71563,13878
10003,Coast of Bays--Central--Notre Dame,81,23,9,41,0,3,5,10,78092,71563,13878
10003,Coast of Bays--Central--Notre Dame,4486,1802,713,1871,0,32,68,10,78092,71563,13878
10003,Coast of Bays--Central--Notre Dame,38,25,2,10,0,0,1,10,78092,71563,13878
10003,Coast of Bays--Central--Notre Dame,107,28,13,64,0,1,0,10,78092,71563,13878
10003,Coast of Bays--Central--Notre Dame,0,0,0,0,0,0,0,10,78092,69192,7259
10003,Coast of Bays--Central--Notre Dame,12,3,1,9,0,0,0,10,78092,69192,7259
10003,Coast of Bays--Central--Notre Dame,102,41,15,46,0,0,0,10,78092,69192,7259
10003,Coast of Bays--Central--Notre Dame,7,3,1,3,0,0,0,10,78092,69192,7259
10003,Coast of Bays--Central--Notre Dame,2330,793,278,1225,0,34,0,10,78092,69192,7259
10003,Coast of Bays--Central--Notre Dame,27,16,2,8,0,1,0,10,78092,69192,7259
10003,Coast of Bays--Central--Notre Dame,55,15,4,35,0,0,0,10,78092,69192,7259
10004,Labrador,987,568,67,345,0,7,0,10,26728,26728,26728
10004,Labrador,58,12,3,40,0,3,0,10,26728,26728,26728
10004,Labrador,9300,3512,2025,3641,0,122,0,10,26728,26728,26728
10004,Labrador,101,51,10,38,0,2,0,10,26728,26728,26728
10004,Labrador,246,113,15,113,0,5,0,10,26728,26728,26728
10005,Long Range Mountains,1495,369,205,902,0,10,9,10,87592,71563,57685
10005,Long Range Mountains,253,48,22,170,0,3,10,10,87592,71563,57685
10005,Long Range Mountains,22747,4963,3700,13656,0,192,236,10,87592,71563,57685
10005,Long Range Mountains,158,102,10,43,0,1,2,10,87592,71563,57685
10005,Long Range Mountains,445,115,55,269,0,6,1,10,87592,71563,57685
10005,Long Range Mountains,24,5,1,17,0,0,0,10,87592,69192,29907
10005,Long Range Mountains,552,184,89,274,0,5,0,10,87592,69192,29907
10005,Long Range Mountains,53,19,4,30,0,0,0,10,87592,69192,29907
10005,Long Range Mountains,9783,3119,2283,4233,0,148,0,10,87592,69192,29907
10005,Long Range Mountains,109,65,7,34,0,4,0,10,87592,69192,29907
10005,Long Range Mountains,222,61,18,142,0,2,0,10,87592,69192,29907
10006,St. John's East,72,17,49,6,0,1,0,10,81936,100559,78567
10006,St. John's East,162,40,111,10,0,0,0,10,81936,100559,78567
10006,St. John's East,3398,761,2296,299,0,42,0,10,81936,100559,78567
10006,St. John's East,489,154,231,99,0,5,0,10,81936,100559,78567
10006,St. John's East,42,7,32,2,0,1,0,10,81936,100559,78567
10006,St. John's East,30062,6032,21817,1890,0,323,0,10,81936,100559,78567
10006,St. John's East,156,77,41,31,0,7,0,10,81936,100559,78567
10006,St. John's East,864,236,505,107,0,16,0,10,81936,100559,78567
10006,St. John's East,153,22,72,57,0,2,0,10,81936,82851,3369
10006,St. John's East,23,9,6,8,0,0,0,10,81936,82851,3369
10006,St. John's East,174,20,108,44,0,2,0,10,81936,82851,3369
10006,St. John's East,187,9,117,59,0,2,0,10,81936,82851,3369
10006,St. John's East,78,7,62,9,0,0,0,10,81936,82851,3369
10006,St. John's East,202,24,137,38,0,3,0,10,81936,82851,3369
10006,St. John's East,742,104,445,182,0,11,0,10,81936,82851,3369
10006,St. John's East,9,6,2,2,0,0,0,10,81936,82851,3369
10006,St. John's East,45,13,11,21,0,0,0,10,81936,82851,3369
10007,St. John's South--Mount Pearl,76,49,7,17,0,2,0,10,81944,78908,2462
10007,St. John's South--Mount Pearl,66,30,6,28,0,1,1,10,81944,78908,2462
10007,St. John's South--Mount Pearl,161,76,26,57,0,1,2,10,81944,78908,2462
10007,St. John's South--Mount Pearl,985,530,163,280,0,6,6,10,81944,78908,2462
10007,St. John's South--Mount Pearl,4,3,0,1,0,0,0,10,81944,78908,2462
10007,St. John's South--Mount Pearl,20,9,1,10,0,0,0,10,81944,78908,2462
10007,St. John's South--Mount Pearl,235,34,110,88,0,3,0,10,81944,82851,79482
10007,St. John's South--Mount Pearl,3369,887,1229,1231,0,22,0,10,81944,82851,79482
10007,St. John's South--Mount Pearl,47,19,12,15,0,1,0,10,81944,82851,79482
10007,St. John's South--Mount Pearl,252,88,35,129,0,0,0,10,81944,82851,79482
10007,St. John's South--Mount Pearl,1,0,1,0,0,0,0,10,81944,82851,79482
10007,St. John's South--Mount Pearl,2,0,2,0,0,0,0,10,81944,82851,79482
10007,St. John's South--Mount Pearl,7,0,5,2,0,0,0,10,81944,82851,79482
10007,St. John's South--Mount Pearl,8,1,5,2,0,0,0,10,81944,82851,79482
10007,St. John's South--Mount Pearl,32300,7249,16060,8759,0,232,0,10,81944,82851,79482
10007,St. John's South--Mount Pearl,199,117,32,44,0,5,0,10,81944,82851,79482
10007,St. John's South--Mount Pearl,952,274,230,440,0,8,0,10,81944,82851,79482
11001,Cardigan,3564,1457,235,1821,0,51,0,11,36005,36005,36005
11001,Cardigan,264,106,16,136,0,6,0,11,36005,36005,36005
11001,Cardigan,16612,6257,1877,8176,0,302,0,11,36005,36005,36005
11001,Cardigan,75,45,3,25,0,2,0,11,36005,36005,36005
11001,Cardigan,615,242,33,328,0,12,0,11,36005,36005,36005
