Electoral district number,Electoral district name,Political affiliation (2015),% Votes obtained (2015),% Votes obtained (2011)
10001,Avalon,NDP-New Democratic Party,14.4,28.5
10001,Avalon,Conservative,11.1,37.1
10001,Avalon,Green Party,0.5,0.6
10001,Avalon,Liberal,55.9,33.2
10001,Avalon,Other,18,0.6
10002,Bonavista--Burin--Trinity,NDP-New Democratic Party,7.3,13.9
10002,Bonavista--Burin--Trinity,Green Party,0.8,0.9
10002,Bonavista--Burin--Trinity,Liberal,81.8,54.5
10002,Bonavista--Burin--Trinity,Conservative,10.1,30.5
10003,Coast of Bays--Central--Notre Dame,NDP-New Democratic Party,6.1,13.6
10003,Coast of Bays--Central--Notre Dame,Conservative,18.3,30.3
10003,Coast of Bays--Central--Notre Dame,Green Party,0.8,0.9
10003,Coast of Bays--Central--Notre Dame,Liberal,74.8,54.9
10004,Labrador,Liberal,71.8,39.1
10004,Labrador,Conservative,13.9,39.8
10004,Labrador,NDP-New Democratic Party,14.4,19.8
10005,Long Range Mountains,NDP-New Democratic Party,11.3,17.8
10005,Long Range Mountains,Green Party,2.7,1.0
10005,Long Range Mountains,Liberal,73.9,55.2
10005,Long Range Mountains,Conservative,12.2,25.3
10006,St. John's East,NDP-New Democratic Party,45.3,70.7
10006,St. John's East,Green Party,1.1,1.1
10006,St. John's East,Conservative,6.5,20.5
10006,St. John's East,Liberal,46.7,7.8
10006,St. John's East,Other,0.3,0.0
10007,St. John's South--Mount Pearl,NDP-New Democratic Party,36.8,46.3
10007,St. John's South--Mount Pearl,Conservative,4.6,24.2
10007,St. John's South--Mount Pearl,Green Party,0.8,0.7
10007,St. John's South--Mount Pearl,Liberal,57.9,28.7
11001,Cardigan,NDP-New Democratic Party,11.1,10.2
11001,Cardigan,Green Party,6.4,1.8
11001,Cardigan,Liberal,65,49.6
11001,Cardigan,Conservative,16.2,38.4
11001,Cardigan,Other,1.3,0.0
11002,Charlottetown,NDP-New Democratic Party,23.1,25.1
11002,Charlottetown,Liberal,56.3,39.5
11002,Charlottetown,Conservative,14.8,32.7
11002,Charlottetown,Green Party,5.8,2.3
11003,Egmont,NDP-New Democratic Party,19.2,12.4
11003,Egmont,Green Party,2.6,1.7
11003,Egmont,Liberal,49.3,31.3
11003,Egmont,Conservative,29,54.6
11004,Malpeque,Liberal,62.1,42.4
11004,Malpeque,NDP-New Democratic Party,11.2,14.6
11004,Malpeque,Green Party,9.2,3.9
11004,Malpeque,Conservative,17.6,39.1
12001,Cape Breton--Canso,Green Party,3,3.2
12001,Cape Breton--Canso,Liberal,74.4,44.1
12001,Cape Breton--Canso,Conservative,14.4,32.6
12001,Cape Breton--Canso,NDP-New Democratic Party,8.2,20.0
12002,Central Nova,Conservative,25.8,55.3
12002,Central Nova,Liberal,58.5,14.0
12002,Central Nova,Green Party,4.1,3.8
12002,Central Nova,NDP-New Democratic Party,10.2,26.8
12002,Central Nova,Other,1.3,0.1
12003,Cumberland--Colchester,Conservative,26.5,52.9
12003,Cumberland--Colchester,Green Party,3.6,5.4
12003,Cumberland--Colchester,Liberal,63.7,18.4
12003,Cumberland--Colchester,NDP-New Democratic Party,5.7,22.5
12003,Cumberland--Colchester,Other,0.6,0.8
12004,Dartmouth--Cole Harbour,NDP-New Democratic Party,24.4,36.4
12004,Dartmouth--Cole Harbour,Conservative,14,25
12004,Dartmouth--Cole Harbour,Liberal,58.2,34.7
12004,Dartmouth--Cole Harbour,Green Party,3.4,3.8
12005,Halifax,Conservative,8.6,18
12005,Halifax,Liberal,51.7,25.6
12005,Halifax,NDP-New Democratic Party,36.1,51.6
12005,Halifax,Green Party,3.3,4.4
12005,Halifax,Other,0.2,0.3
12006,Halifax West,NDP-New Democratic Party,11.8,28.4
12006,Halifax West,Conservative,15.6,30.2
12006,Halifax West,Liberal,68.6,37.3
12006,Halifax West,Green Party,3.9,4.1
12007,Kings--Hants,Liberal,70.7,39.6
12007,Kings--Hants,Green Party,3.4,3.8
12007,Kings--Hants,NDP-New Democratic Party,6.4,20.0
12007,Kings--Hants,Conservative,18.6,36.6
12007,Kings--Hants,Other,0.9,0.0
12008,Sackville--Preston--Chezzetcook,Green Party,2.8,4.2
12008,Sackville--Preston--Chezzetcook,Liberal,48,11.3
12008,Sackville--Preston--Chezzetcook,NDP-New Democratic Party,34.4,54.3
12008,Sackville--Preston--Chezzetcook,Conservative,14.9,30.2
12009,South Shore--St. Margarets,Green Party,2.9,4.0
12009,South Shore--St. Margarets,Conservative,22.6,42
12009,South Shore--St. Margarets,NDP-New Democratic Party,16.8,36.1
12009,South Shore--St. Margarets,Liberal,56.9,18.0
12009,South Shore--St. Margarets,Other,0.8,0.0
12010,Sydney--Victoria,Conservative,10.6,37.8
12010,Sydney--Victoria,NDP-New Democratic Party,13.1,19.0
12010,Sydney--Victoria,Liberal,73.2,39.9
12010,Sydney--Victoria,Green Party,2.5,3.2
12010,Sydney--Victoria,Other,0.6,0.0
12011,West Nova,NDP-New Democratic Party,6.8,13.1
12011,West Nova,Liberal,63,36.4
12011,West Nova,Conservative,26.1,47
12011,West Nova,Green Party,4.2,3.5
13001,Acadie--Bathurst,Green Party,2.3,0.1
13001,Acadie--Bathurst,Liberal,50.7,14.3
13001,Acadie--Bathurst,Conservative,7.6,16.5
13001,Acadie--Bathurst,NDP-New Democratic Party,39.4,69.1
13002,Beausejour,Conservative,11.4,31.7
13002,Beausejour,NDP-New Democratic Party,15.1,23.4
13002,Beausejour,Green Party,4.5,4.2
13002,Beausejour,Liberal,69,40.7
13003,Fredericton,Conservative,28.4,47
13003,Fredericton,Green Party,12.4,4.1
13003,Fredericton,Liberal,49.3,24.0
13003,Fredericton,NDP-New Democratic Party,9.9,24.3
13004,Fundy Royal,Green Party,3.9,4.7
13004,Fundy Royal,Liberal,40.9,10.4
13004,Fundy Royal,NDP-New Democratic Party,17.5,26.9
13004,Fundy Royal,Conservative,37.1,57.9
13004,Fundy Royal,Other,0.6,0.0
13005,Madawaska--Restigouche,Liberal,55.7,34.8
13005,Madawaska--Restigouche,Green Party,1.9,1.8
13005,Madawaska--Restigouche,NDP-New Democratic Party,25.9,19.3
