Electoral district number,Electoral district name,Last name (2015),First name (2015),Political affiliation (2015),% Votes obtained (2015)
10001,Avalon,Andrews,Scott,No Affiliation,17.8
10001,Avalon,Baldwin,Jeannie,NDP-New Democratic Party,14.4
10001,Avalon,Barnett,Lorraine E.,Conservative,11.1
10001,Avalon,Byrne-Puumala,Krista,Green Party,0.5
10001,Avalon,McCreath,Jennifer,Forces et Democratie - Allier les forces de nos regions,0.2
10001,Avalon,McDonald,Ken,Liberal,55.9
10002,Bonavista--Burin--Trinity,Brown,Jenn,NDP-New Democratic Party,7.3
10002,Bonavista--Burin--Trinity,Colbourne,Tyler John,Green Party,0.8
10002,Bonavista--Burin--Trinity,Foote,Judy M.,Liberal,81.8
10002,Bonavista--Burin--Trinity,Windsor,Mike,Conservative,10.1
10003,Coast of Bays--Central--Notre Dame,Menchenton,Claudette,NDP-New Democratic Party,6.1
10003,Coast of Bays--Central--Notre Dame,O'Brien,Kevin George,Conservative,18.3
10003,Coast of Bays--Central--Notre Dame,Perry,Elizabeth,Green Party,0.8
10003,Coast of Bays--Central--Notre Dame,Simms,Scott,Liberal,74.8
10004,Labrador,Jones,Yvonne,Liberal,71.8
10004,Labrador,Penashue,Peter,Conservative,13.9
10004,Labrador,Rudkowski,Edward,NDP-New Democratic Party,14.4
10005,Long Range Mountains,Babstock,Devon,NDP-New Democratic Party,11.3
10005,Long Range Mountains,Cormier,Terry,Green Party,2.7
10005,Long Range Mountains,Hutchings,Gudie,Liberal,73.9
10005,Long Range Mountains,Ruth,Wayne,Conservative,12.2
10006,St. John's East,Burton,Sean,Communist,0.3
10006,St. John's East,Harris,Jack,NDP-New Democratic Party,45.3
10006,St. John's East,Peters,David Anthony,Green Party,1.1
10006,St. John's East,Stapleton,Deanne,Conservative,6.5
10006,St. John's East,Whalen,Nick,Liberal,46.7
10007,St. John's South--Mount Pearl,Cleary,Ryan,NDP-New Democratic Party,36.8
10007,St. John's South--Mount Pearl,Krol,Marek,Conservative,4.6
10007,St. John's South--Mount Pearl,McLean,Jackson,Green Party,0.8
10007,St. John's South--Mount Pearl,O'Regan,Seamus,Liberal,57.9
11001,Cardigan,Cann,Billy,NDP-New Democratic Party,11.1
11001,Cardigan,Doyle,Teresa,Green Party,6.4
11001,Cardigan,MacAulay,Lawrence,Liberal,65
11001,Cardigan,Patkai,Julius,Conservative,16.2
11001,Cardigan,Squires,Christene,Christian Heritage Party,1.3
11002,Charlottetown,Byrne,Joe,NDP-New Democratic Party,23.1
11002,Charlottetown,Casey,Sean,Liberal,56.3
11002,Charlottetown,MacMillan,Ron,Conservative,14.8
11002,Charlottetown,Viau,Becka,Green Party,5.8
11003,Egmont,Dickieson,Herb,NDP-New Democratic Party,19.2
11003,Egmont,Ling,Nils,Green Party,2.6
11003,Egmont,Morrissey,Bobby,Liberal,49.3
11003,Egmont,Shea,Gail,Conservative,29
11004,Malpeque,Easter,Wayne,Liberal,62.1
11004,Malpeque,Hayward,Leah-Jane,NDP-New Democratic Party,11.2
11004,Malpeque,Lund,Lynne,Green Party,9.2
11004,Malpeque,Stewart,Stephen,Conservative,17.6
12001,Cape Breton--Canso,Coady,Maria Goretti,Green Party,3
12001,Cape Breton--Canso,Cuzner,Rodger,Liberal,74.4
12001,Cape Breton--Canso,Rodgers,Adam Daniel,Conservative,14.4
12001,Cape Breton--Canso,Smith,Michelle,NDP-New Democratic Party,8.2
12002,Central Nova,DeLorey,Fred,Conservative,25.8
12002,Central Nova,Fraser,Sean,Liberal,58.5
12002,Central Nova,Hachey,David,Green Party,4.1
12002,Central Nova,Landry,Ross,NDP-New Democratic Party,10.2
12002,Central Nova,MacKenzie,Alexander J.,Independent,1.3
12003,Cumberland--Colchester,Armstrong,Scott,Conservative,26.5
12003,Cumberland--Colchester,Blanch,Jason Matthew,Green Party,3.6
12003,Cumberland--Colchester,Casey,Bill,Liberal,63.7
12003,Cumberland--Colchester,Jackson,Kenneth,Independent,0.4
12003,Cumberland--Colchester,Plett,Richard Trueman,Independent,0.2
12003,Cumberland--Colchester,Robinson,Wendy,NDP-New Democratic Party,5.7
12004,Dartmouth--Cole Harbour,Chisholm,Robert,NDP-New Democratic Party,24.4
12004,Dartmouth--Cole Harbour,Cole,Jason,Conservative,14
12004,Dartmouth--Cole Harbour,Fisher,Darren,Liberal,58.2
12004,Dartmouth--Cole Harbour,Nheiley,Brynn,Green Party,3.4
12005,Halifax,Bezanson,Allan,Marxist-Leninist,0.2
12005,Halifax,Carvery,Irvine,Conservative,8.6
12005,Halifax,Fillmore,Andy,Liberal,51.7
12005,Halifax,Leslie,Megan,NDP-New Democratic Party,36.1
12005,Halifax,Trappenberg,Thomas,Green Party,3.3
12006,Halifax West,Hussey,Joanne,NDP-New Democratic Party,11.8
12006,Halifax West,McGinnis,Michael,Conservative,15.6
12006,Halifax West,Regan,Geoff,Liberal,68.6
12006,Halifax West,Zurawski,Richard Henryk,Green Party,3.9
12007,Kings--Hants,Brison,Scott,Liberal,70.7
12007,Kings--Hants,Brown-Hodges,Megan,Rhinoceros,0.4
12007,Kings--Hants,Cooper,Will,Green Party,3.4
12007,Kings--Hants,Curry,Hugh,NDP-New Democratic Party,6.4
12007,Kings--Hants,Morse,David,Conservative,18.6
12007,Kings--Hants,Twohig,Edd,Independent,0.3
12007,Kings--Hants,Williams,Clifford James,Independent,0.2
12008,Sackville--Preston--Chezzetcook,Montgomery,Mike,Green Party,2.8
12008,Sackville--Preston--Chezzetcook,Samson,Darrell,Liberal,48
12008,Sackville--Preston--Chezzetcook,Stoffer,Peter,NDP-New Democratic Party,34.4
12008,Sackville--Preston--Chezzetcook,Strickland,Robert Thomas,Conservative,14.9
12009,South Shore--St. Margarets,Barry,Ryan,Communist,0.3
12009,South Shore--St. Margarets,Biggar,Richard,Green Party,2.9
12009,South Shore--St. Margarets,Bruhm,Trevor,Independent,0.5
12009,South Shore--St. Margarets,Clark,Richard,Conservative,22.6
12009,South Shore--St. Margarets,Godbold,Alex,NDP-New Democratic Party,16.8
12009,South Shore--St. Margarets,Jordan,Bernadette,Liberal,56.9
12010,Sydney--Victoria,Chiasson,John Douglas,Conservative,10.6
12010,Sydney--Victoria,Dutt,Monika,NDP-New Democratic Party,13.1
12010,Sydney--Victoria,Eyking,Mark,Liberal,73.2
12010,Sydney--Victoria,Hiscock,Wayne James,Libertarian,0.6
12010,Sydney--Victoria,MacKinnon,Adrianna,Green Party,2.5
12011,West Nova,Foster,Greg,NDP-New Democratic Party,6.8
12011,West Nova,Fraser,Colin,Liberal,63
