Electoral district number,Electoral district name,Political affiliation (2015),% Votes obtained (2015)
10001,Avalon,No Affiliation,17.8
,,Forces et Democratie - Allier les forces de nos regions,0.2
10006,St. John's East,Communist,0.3
11001,Cardigan,Christian Heritage Party,1.3
12002,Central Nova,Independent,1.3
12003,Cumberland--Colchester,Independent,0.4
,,Independent,0.2
12005,Halifax,Marxist-Leninist,0.2
12007,Kings--Hants,Rhinoceros,0.4
,,Independent,0.3
,,Independent,0.2
12009,South Shore--St. Margarets,Communist,0.3
,,Independent,0.5
12010,Sydney--Victoria,Libertarian,0.6
13004,Fundy Royal,Independent,0.6
24001,Abitibi--Baie-James--Nunavik--Eeyou,Rhinoceros,0.7
24002,Abitibi--Temiscamingue,Rhinoceros,0.9
24003,Ahuntsic-Cartierville,Rhinoceros,0.5
24004,Alfred-Pellan,Independent,0.4
24006,Avignon--La Mitis--Matane--Matapedia,Forces et Democratie - Allier les forces de nos regions,11.6
,,Rhinoceros,0.5
24008,Beauport--Limoilou,Libertarian,0.8
,,Forces et Democratie - Allier les forces de nos regions,0.2
,,Marxist-Leninist,0.3
24011,Beloeil--Chambly,Libertarian,0.4
24013,Therese-De Blainville,Libertarian,0.6
24015,Bourassa,Marxist-Leninist,0.6
,,Independent,1.6
,,Forces et Democratie - Allier les forces de nos regions,0.2
24016,Brome--Missisquoi,Forces et Democratie - Allier les forces de nos regions,0.3
24018,Rimouski-Neigette--Temiscouata--Les Basques,Rhinoceros,0.6
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Forces et Democratie - Allier les forces de nos regions,0.4
24021,Chateauguay--Lacolle,Marxist-Leninist,0.3
24023,Compton--Stanstead,Rhinoceros,0.6
24024,Dorval--Lachine--LaSalle,Independent,0.4
24026,Gaspesie--Les iles-de-la-Madeleine,Rhinoceros,0.8
24027,Gatineau,Independent,0.3
,,Marxist-Leninist,0.2
24028,Hochelaga,Communist,0.3
,,Marxist-Leninist,0.3
,,Rhinoceros,0.8
24029,Honore-Mercier,Forces et Democratie - Allier les forces de nos regions,0.3
,,Marxist-Leninist,0.2
24030,Hull--Aylmer,Independent,0.3
,,Marxist-Leninist,0.2
,,Christian Heritage Party,0.5
24031,Joliette,Forces et Democratie - Allier les forces de nos regions,0.4
24032,Jonquiere,Rhinoceros,0.8
24033,La Pointe-de-l'ile,Rhinoceros,0.6
,,Forces et Democratie - Allier les forces de nos regions,0.2
,,Marxist-Leninist,0.2
24034,La Prairie,Marxist-Leninist,0.4
24039,Laurier--Sainte-Marie,Libertarian,1.1
,,Independent,0.3
,,Communist,0.2
,,Marxist-Leninist,0.2
24040,Laval--Les iles,Marxist-Leninist,0.3
24041,Longueuil--Charles-LeMoyne,Marxist-Leninist,0.3
,,Rhinoceros,0.6
24042,Levis--Lotbiniere,ATN,0.2
24043,Longueuil--Saint-Hubert,Forces et Democratie - Allier les forces de nos regions,0.3
24044,Louis-Hebert,Christian Heritage Party,0.2
24049,Montarville,Libertarian,1.1
24050,Montcalm,Forces et Democratie - Allier les forces de nos regions,1.2
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Rhinoceros,0.6
24052,Mount Royal,Marxist-Leninist,0.3
24053,Notre-Dame-de-Grace--Westmount,Independent,0.3
,,Marxist-Leninist,0.4
24054,Outremont,Libertarian,0.5
,,Communist,0.4
24055,Papineau,No Affiliation,0.2
,,Rhinoceros,0.6
,,Independent,1
,,Marxist-Leninist,0.3
,,Independent,0.3
24057,Pontiac,Marxist-Leninist,0.2
,,Forces et Democratie - Allier les forces de nos regions,0.2
24059,Quebec,Marxist-Leninist,0.3
,,Forces et Democratie - Allier les forces de nos regions,0.2
24060,Repentigny,Forces et Democratie - Allier les forces de nos regions,2
24061,Richmond--Arthabaska,Rhinoceros,0.7
24062,Riviere-des-Mille-iles,Independent,0.3
24063,Riviere-du-Nord,Rhinoceros,0.5
24064,Rosemont--La Petite-Patrie,Rhinoceros,0.8
,,Marxist-Leninist,0.3
,,Libertarian,0.6
24066,Saint-Hyacinthe--Bagot,Independent,0.5
24068,Saint-Laurent,Marxist-Leninist,0.3
24069,Saint-Leonard--Saint-Michel,Marxist-Leninist,0.3
24070,Saint-Maurice--Champlain,Marxist-Leninist,0.3
24071,Salaberry--Suroit,Forces et Democratie - Allier les forces de nos regions,0.3
,,Independent,0.4
24073,Sherbrooke,Independent,0.5
,,Rhinoceros,0.5
24075,Terrebonne,Forces et Democratie - Allier les forces de nos regions,0.3
24076,Trois-Rivieres,Libertarian,0.6
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,Communist,0.2
,,Rhinoceros,0.3
24078,Vimy,Christian Heritage Party,0.5
35001,Ajax,United Party,0.1
35003,Aurora--Oak Ridges--Richmond Hill,Animal Alliance/Environment Voters,0.5
35004,Barrie--Innisfil,Christian Heritage Party,0.4
,,CAP,0.3
35005,Barrie--Springwater--Oro-Medonte,Independent,0.4
,,Libertarian,0.8
35006,Bay of Quinte,Independent,0.6
35007,Beaches--East York,Marxist-Leninist,0.2
,,Independent,0.5
,,Independent,0.1
35008,Brampton Centre,Marxist-Leninist,0.4
35010,Brampton North,Communist,0.2
35013,Brantford--Brant,Libertarian,0.8
,,Independent,0.3
35016,Cambridge,Marxist-Leninist,0.2
,,Independent,0.9
35018,Davenport,Communist,0.5
,,Independent,0.2
35021,Don Valley West,Independent,0.1
,,Communist,0.2
,,Libertarian,0.6
35023,Durham,Christian Heritage Party,0.6
35024,Eglinton--Lawrence,Animal Alliance/Environment Voters,0.2
,,Libertarian,0.6
35025,Elgin--Middlesex--London,Rhinoceros,0.3
,,Christian Heritage Party,0.9
35026,Essex,Marxist-Leninist,0.1
35027,Etobicoke Centre,PC Party,0.6
