Electoral district number,Electoral district name,Political affiliation (2015),% Votes obtained (2015)
10001,Avalon,No Affiliation,17.8
10001,Avalon,NDP-New Democratic Party,14.4
10001,Avalon,Conservative,11.1
10001,Avalon,Green Party,0.5
10001,Avalon,Forces et Democratie - Allier les forces de nos regions,0.2
10001,Avalon,Liberal,55.9
10002,Bonavista--Burin--Trinity,NDP-New Democratic Party,7.3
10002,Bonavista--Burin--Trinity,Green Party,0.8
10002,Bonavista--Burin--Trinity,Liberal,81.8
10002,Bonavista--Burin--Trinity,Conservative,10.1
10003,Coast of Bays--Central--Notre Dame,NDP-New Democratic Party,6.1
10003,Coast of Bays--Central--Notre Dame,Conservative,18.3
10003,Coast of Bays--Central--Notre Dame,Green Party,0.8
10003,Coast of Bays--Central--Notre Dame,Liberal,74.8
10004,Labrador,Liberal,71.8
10004,Labrador,Conservative,13.9
10004,Labrador,NDP-New Democratic Party,14.4
10005,Long Range Mountains,NDP-New Democratic Party,11.3
10005,Long Range Mountains,Green Party,2.7
10005,Long Range Mountains,Liberal,73.9
10005,Long Range Mountains,Conservative,12.2
10006,St. John's East,Communist,0.3
10006,St. John's East,NDP-New Democratic Party,45.3
10006,St. John's East,Green Party,1.1
10006,St. John's East,Conservative,6.5
10006,St. John's East,Liberal,46.7
10007,St. John's South--Mount Pearl,NDP-New Democratic Party,36.8
10007,St. John's South--Mount Pearl,Conservative,4.6
10007,St. John's South--Mount Pearl,Green Party,0.8
10007,St. John's South--Mount Pearl,Liberal,57.9
11001,Cardigan,NDP-New Democratic Party,11.1
11001,Cardigan,Green Party,6.4
11001,Cardigan,Liberal,65
11001,Cardigan,Conservative,16.2
11001,Cardigan,Christian Heritage Party,1.3
11002,Charlottetown,NDP-New Democratic Party,23.1
11002,Charlottetown,Liberal,56.3
11002,Charlottetown,Conservative,14.8
11002,Charlottetown,Green Party,5.8
11003,Egmont,NDP-New Democratic Party,19.2
11003,Egmont,Green Party,2.6
11003,Egmont,Liberal,49.3
11003,Egmont,Conservative,29
11004,Malpeque,Liberal,62.1
11004,Malpeque,NDP-New Democratic Party,11.2
11004,Malpeque,Green Party,9.2
11004,Malpeque,Conservative,17.6
12001,Cape Breton--Canso,Green Party,3
12001,Cape Breton--Canso,Liberal,74.4
12001,Cape Breton--Canso,Conservative,14.4
12001,Cape Breton--Canso,NDP-New Democratic Party,8.2
12002,Central Nova,Conservative,25.8
12002,Central Nova,Liberal,58.5
12002,Central Nova,Green Party,4.1
12002,Central Nova,NDP-New Democratic Party,10.2
12002,Central Nova,Independent,1.3
12003,Cumberland--Colchester,Conservative,26.5
12003,Cumberland--Colchester,Green Party,3.6
12003,Cumberland--Colchester,Liberal,63.7
12003,Cumberland--Colchester,Independent,0.4
12003,Cumberland--Colchester,Independent,0.2
12003,Cumberland--Colchester,NDP-New Democratic Party,5.7
12004,Dartmouth--Cole Harbour,NDP-New Democratic Party,24.4
12004,Dartmouth--Cole Harbour,Conservative,14
12004,Dartmouth--Cole Harbour,Liberal,58.2
12004,Dartmouth--Cole Harbour,Green Party,3.4
12005,Halifax,Marxist-Leninist,0.2
12005,Halifax,Conservative,8.6
12005,Halifax,Liberal,51.7
12005,Halifax,NDP-New Democratic Party,36.1
12005,Halifax,Green Party,3.3
12006,Halifax West,NDP-New Democratic Party,11.8
12006,Halifax West,Conservative,15.6
12006,Halifax West,Liberal,68.6
12006,Halifax West,Green Party,3.9
12007,Kings--Hants,Liberal,70.7
12007,Kings--Hants,Rhinoceros,0.4
12007,Kings--Hants,Green Party,3.4
12007,Kings--Hants,NDP-New Democratic Party,6.4
12007,Kings--Hants,Conservative,18.6
12007,Kings--Hants,Independent,0.3
12007,Kings--Hants,Independent,0.2
12008,Sackville--Preston--Chezzetcook,Green Party,2.8
12008,Sackville--Preston--Chezzetcook,Liberal,48
12008,Sackville--Preston--Chezzetcook,NDP-New Democratic Party,34.4
12008,Sackville--Preston--Chezzetcook,Conservative,14.9
12009,South Shore--St. Margarets,Communist,0.3
12009,South Shore--St. Margarets,Green Party,2.9
12009,South Shore--St. Margarets,Independent,0.5
12009,South Shore--St. Margarets,Conservative,22.6
12009,South Shore--St. Margarets,NDP-New Democratic Party,16.8
12009,South Shore--St. Margarets,Liberal,56.9
12010,Sydney--Victoria,Conservative,10.6
12010,Sydney--Victoria,NDP-New Democratic Party,13.1
12010,Sydney--Victoria,Liberal,73.2
12010,Sydney--Victoria,Libertarian,0.6
12010,Sydney--Victoria,Green Party,2.5
12011,West Nova,NDP-New Democratic Party,6.8
12011,West Nova,Liberal,63
12011,West Nova,Conservative,26.1
12011,West Nova,Green Party,4.2
13001,Acadie--Bathurst,Green Party,2.3
13001,Acadie--Bathurst,Liberal,50.7
13001,Acadie--Bathurst,Conservative,7.6
13001,Acadie--Bathurst,NDP-New Democratic Party,39.4
13002,Beausejour,Conservative,11.4
13002,Beausejour,NDP-New Democratic Party,15.1
13002,Beausejour,Green Party,4.5
13002,Beausejour,Liberal,69
13003,Fredericton,Conservative,28.4
13003,Fredericton,Green Party,12.4
13003,Fredericton,Liberal,49.3
13003,Fredericton,NDP-New Democratic Party,9.9
13004,Fundy Royal,Independent,0.6
13004,Fundy Royal,Green Party,3.9
13004,Fundy Royal,Liberal,40.9
13004,Fundy Royal,NDP-New Democratic Party,17.5
13004,Fundy Royal,Conservative,37.1
13005,Madawaska--Restigouche,Liberal,55.7
13005,Madawaska--Restigouche,Green Party,1.9
13005,Madawaska--Restigouche,NDP-New Democratic Party,25.9
13005,Madawaska--Restigouche,Conservative,16.5
13006,Miramichi--Grand Lake,Green Party,3
13006,Miramichi--Grand Lake,NDP-New Democratic Party,15.4
13006,Miramichi--Grand Lake,Liberal,47.3
13006,Miramichi--Grand Lake,Conservative,34.3
13007,Moncton--Riverview--Dieppe,Conservative,21.5
13007,Moncton--Riverview--Dieppe,NDP-New Democratic Party,16.2
13007,Moncton--Riverview--Dieppe,Green Party,4.6
13007,Moncton--Riverview--Dieppe,Liberal,57.8
13008,New Brunswick Southwest,NDP-New Democratic Party,12.6
13008,New Brunswick Southwest,Liberal,43.9
13008,New Brunswick Southwest,Green Party,4.9
13008,New Brunswick Southwest,Conservative,38.6
13009,Saint John--Rothesay,NDP-New Democratic Party,17.5
13009,Saint John--Rothesay,Liberal,48.8
13009,Saint John--Rothesay,Green Party,3.1
13009,Saint John--Rothesay,Conservative,30.5
13010,Tobique--Mactaquac,Conservative,37
13010,Tobique--Mactaquac,Liberal,46.6
13010,Tobique--Mactaquac,NDP-New Democratic Party,11.3
13010,Tobique--Mactaquac,Green Party,5.1
24001,Abitibi--Baie-James--Nunavik--Eeyou,Green Party,2.3
24001,Abitibi--Baie-James--Nunavik--Eeyou,Liberal,32.1
24001,Abitibi--Baie-James--Nunavik--Eeyou,Bloc Quebecois,18.5
24001,Abitibi--Baie-James--Nunavik--Eeyou,Rhinoceros,0.7
24001,Abitibi--Baie-James--Nunavik--Eeyou,Conservative,9.3
24001,Abitibi--Baie-James--Nunavik--Eeyou,NDP-New Democratic Party,37
24002,Abitibi--Temiscamingue,Green Party,1.7
24002,Abitibi--Temiscamingue,Conservative,6.9
24002,Abitibi--Temiscamingue,Rhinoceros,0.9
24002,Abitibi--Temiscamingue,NDP-New Democratic Party,41.5
24002,Abitibi--Temiscamingue,Bloc Quebecois,19.4
24002,Abitibi--Temiscamingue,Liberal,29.6
24003,Ahuntsic-Cartierville,Bloc Quebecois,13.2
24003,Ahuntsic-Cartierville,Rhinoceros,0.5
24003,Ahuntsic-Cartierville,Liberal,46.8
24003,Ahuntsic-Cartierville,Green Party,2.1
24003,Ahuntsic-Cartierville,Conservative,7.3
