Electoral district number,Electoral district name,Conservative % Votes Obtained (2015),Liberal % Votes Obtained (2015),NDP % Votes Obtained (2015),Bloc Quebecois % Votes Obtained (2015),Green Party % Votes Obtained (2015),Other % Votes Obtained (2015)
10001,Avalon,11.1,55.9,14.4,0,0.5,18
10002,Bonavista--Burin--Trinity,10.1,81.8,7.3,0,0.8,0
10003,Coast of Bays--Central--Notre Dame,18.3,74.8,6.1,0,0.8,0
10004,Labrador,13.9,71.8,14.4,0,0,0
10005,Long Range Mountains,12.2,73.9,11.3,0,2.7,0
10006,St. John's East,6.5,46.7,45.3,0,1.1,0.3
10007,St. John's South--Mount Pearl,4.6,57.9,36.8,0,0.8,0
11001,Cardigan,16.2,65,11.1,0,6.4,1.3
11002,Charlottetown,14.8,56.3,23.1,0,5.8,0
11003,Egmont,29,49.3,19.2,0,2.6,0
11004,Malpeque,17.6,62.1,11.2,0,9.2,0
12001,Cape Breton--Canso,14.4,74.4,8.2,0,3,0
12002,Central Nova,25.8,58.5,10.2,0,4.1,1.3
12003,Cumberland--Colchester,26.5,63.7,5.7,0,3.6,0.6
12004,Dartmouth--Cole Harbour,14,58.2,24.4,0,3.4,0
12005,Halifax,8.6,51.7,36.1,0,3.3,0.2
12006,Halifax West,15.6,68.6,11.8,0,3.9,0
12007,Kings--Hants,18.6,70.7,6.4,0,3.4,0.9
12008,Sackville--Preston--Chezzetcook,14.9,48,34.4,0,2.8,0
12009,South Shore--St. Margarets,22.6,56.9,16.8,0,2.9,0.8
12010,Sydney--Victoria,10.6,73.2,13.1,0,2.5,0.6
12011,West Nova,26.1,63,6.8,0,4.2,0
13001,Acadie--Bathurst,7.6,50.7,39.4,0,2.3,0
13002,Beausejour,11.4,69,15.1,0,4.5,0
13003,Fredericton,28.4,49.3,9.9,0,12.4,0
13004,Fundy Royal,37.1,40.9,17.5,0,3.9,0.6
13005,Madawaska--Restigouche,16.5,55.7,25.9,0,1.9,0
13006,Miramichi--Grand Lake,34.3,47.3,15.4,0,3,0
