Electoral district number,Electoral district name,Conservative % Votes Obtained (2015),Liberal % Votes Obtained (2015),NDP % Votes Obtained (2015),Bloc Quebecois % Votes Obtained (2015),Green Party % Votes Obtained (2015),Other % Votes Obtained (2015),Conservative % Votes Obtained (2011),Liberal % Votes Obtained (2011),NDP % Votes Obtained (2011),Bloc Quebecois % Votes Obtained (2011),Green Party % Votes Obtained (2011),Other % Votes Obtained (2011)
10001,Avalon,11.1,55.9,14.4,0.0,0.5,18,37.1,33.2,28.5,0.0,0.6,0.6
10002,Bonavista--Burin--Trinity,10.1,81.8,7.3,0.0,0.8,0.0,30.5,54.5,13.9,0.0,0.9,0.0
10003,Coast of Bays--Central--Notre Dame,18.3,74.8,6.1,0.0,0.8,0.0,30.3,54.9,13.6,0.0,0.9,0.0
10004,Labrador,13.9,71.8,14.4,0.0,,0.0,39.8,39.1,19.8,0.0,,0.0
10005,Long Range Mountains,12.2,73.9,11.3,0.0,2.7,0.0,25.3,55.2,17.8,0.0,1.0,0.0
10006,St. John's East,6.5,46.7,45.3,0.0,1.1,0.3,20.5,7.8,70.7,0.0,1.1,0.0
10007,St. John's South--Mount Pearl,4.6,57.9,36.8,0.0,0.8,0.0,24.2,28.7,46.3,0.0,0.7,0.0
11001,Cardigan,16.2,65,11.1,0.0,6.4,1.3,38.4,49.6,10.2,0.0,1.8,0.0
11002,Charlottetown,14.8,56.3,23.1,0.0,5.8,0.0,32.7,39.5,25.1,0.0,2.3,0.0
11003,Egmont,29,49.3,19.2,0.0,2.6,0.0,54.6,31.3,12.4,0.0,1.7,0.0
11004,Malpeque,17.6,62.1,11.2,0.0,9.2,0.0,39.1,42.4,14.6,0.0,3.9,0.0
12001,Cape Breton--Canso,14.4,74.4,8.2,0.0,3,0.0,32.6,44.1,20.0,0.0,3.2,0.0
12002,Central Nova,25.8,58.5,10.2,0.0,4.1,1.3,55.3,14.0,26.8,0.0,3.8,0.1
12003,Cumberland--Colchester,26.5,63.7,5.7,0.0,3.6,0.6,52.9,18.4,22.5,0.0,5.4,0.8
12004,Dartmouth--Cole Harbour,14,58.2,24.4,0.0,3.4,0.0,25,34.7,36.4,0.0,3.8,0.0
12005,Halifax,8.6,51.7,36.1,0.0,3.3,0.2,18,25.6,51.6,0.0,4.4,0.3
12006,Halifax West,15.6,68.6,11.8,0.0,3.9,0.0,30.2,37.3,28.4,0.0,4.1,0.0
12007,Kings--Hants,18.6,70.7,6.4,0.0,3.4,0.9,36.6,39.6,20.0,0.0,3.8,0.0
12008,Sackville--Preston--Chezzetcook,14.9,48,34.4,0.0,2.8,0.0,30.2,11.3,54.3,0.0,4.2,0.0
12009,South Shore--St. Margarets,22.6,56.9,16.8,0.0,2.9,0.8,42,18.0,36.1,0.0,4.0,0.0
12010,Sydney--Victoria,10.6,73.2,13.1,0.0,2.5,0.6,37.8,39.9,19.0,0.0,3.2,0.0
12011,West Nova,26.1,63,6.8,0.0,4.2,0.0,47,36.4,13.1,0.0,3.5,0.0
13001,Acadie--Bathurst,7.6,50.7,39.4,0.0,2.3,0.0,16.5,14.3,69.1,0.0,0.1,0.0
13002,Beausejour,11.4,69,15.1,0.0,4.5,0.0,31.7,40.7,23.4,0.0,4.2,0.0
13003,Fredericton,28.4,49.3,9.9,0.0,12.4,0.0,47,24.0,24.3,0.0,4.1,0.0
13004,Fundy Royal,37.1,40.9,17.5,0.0,3.9,0.6,57.9,10.4,26.9,0.0,4.7,0.0
13005,Madawaska--Restigouche,16.5,55.7,25.9,0.0,1.9,0.0,40.5,34.8,19.3,0.0,1.8,0.0
13006,Miramichi--Grand Lake,34.3,47.3,15.4,0.0,3,0.0,53.2,21.4,22.9,0.0,2.5,0.0
13007,Moncton--Riverview--Dieppe,21.5,57.8,16.2,0.0,4.6,0.0,36.8,30.5,28.5,0.0,4.3,0.0
13008,New Brunswick Southwest,38.6,43.9,12.6,0.0,4.9,0.0,56.7,13.6,23.3,0.0,5.1,0.0
13009,Saint John--Rothesay,30.5,48.8,17.5,0.0,3.1,0.0,49.7,16.0,30.7,0.0,2.8,0.0
13010,Tobique--Mactaquac,37,46.6,11.3,0.0,5.1,0.0,62.1,16.2,19.1,0.0,2.5,0.0
24001,Abitibi--Baie-James--Nunavik--Eeyou,9.3,32.1,37,18.5,2.3,0.7,22.6,10.5,44.8,18.3,3.9,0.0
24002,Abitibi--Temiscamingue,6.9,29.6,41.5,19.4,1.7,0.9,9.9,5.9,51.2,31.5,1.4,0.0
24003,Ahuntsic-Cartierville,7.3,46.8,30,13.2,2.1,0.5,8.6,31.1,29.9,28.3,1.5,0.6
24004,Alfred-Pellan,11.3,44.5,24,17.8,2,0.4,11.2,22.3,42.2,22.4,1.5,0.5
24005,Argenteuil--La Petite-Nation,11.1,43.3,24.8,18.7,2.2,0.0,14.7,13.7,45.0,23.3,2.6,0.0
24006,Avignon--La Mitis--Matane--Matapedia,6.1,39.5,20.2,21,1,12.1,13.2,23.2,26.6,34.5,2.5,0.0
24007,Beauce,58.9,22.3,9.7,7.4,1.7,0.0,50.7,11.0,30.0,6.7,1.6,0.0
24008,Beauport--Limoilou,30.6,25.4,25.5,14.8,2.4,1.3,25.3,6.4,45.9,20.1,1.9,0.5
24009,Becancour--Nicolet--Saurel,11.4,24.3,22.1,40,2.3,0.0,13,10.1,35.6,38.3,3.0,0.0
24010,Bellechasse--Les Etchemins--Levis,50.9,20.7,13.6,11.5,3.2,0.0,43.9,5.8,33.8,14.9,1.5,0.0
24011,Beloeil--Chambly,9.3,29.3,31.1,27.7,2.3,0.4,7.9,9.0,42.6,27.4,1.6,11.5
24012,Berthier--Maskinonge,10.2,20.3,42.2,25.8,1.6,0.0,12.7,12.1,41.2,31.0,2.3,0.0
24013,Therese-De Blainville,12.4,32.5,24.9,27.1,2.4,0.6,9.8,10.3,50.0,27.8,2.1,0.0
24014,Pierre-Boucher--Les Patriotes--Vercheres,10.2,28.3,24.3,28.6,8.5,0.0,8.4,9.9,44.8,34.2,2.1,0.0
24015,Bourassa,9.3,54.1,14.9,17.1,2.2,2.4,8.2,38.5,32.4,19.0,1.6,0.4
