Electoral district number,Electoral district name,Conservative % Votes Obtained (2011),Liberal % Votes Obtained (2011),NDP % Votes Obtained (2011),Bloc Quebecois % Votes Obtained (2011),Green Party % Votes Obtained (2011),Other % Votes Obtained (2011)
10001,Avalon,37.1,33.2,28.5,0,0.6,0.6
10002,Bonavista--Burin--Trinity,30.5,54.5,13.9,0,0.9,0
10003,Coast of Bays--Central--Notre Dame,30.3,54.9,13.6,0,0.9,0
10004,Labrador,39.8,39.1,19.8,0,0,0
10005,Long Range Mountains,25.3,55.2,17.8,0,1,0
10006,St. John's East,20.5,7.8,70.7,0,1.1,0
10007,St. John's South--Mount Pearl,24.2,28.7,46.3,0,0.7,0
11001,Cardigan,38.4,49.6,10.2,0,1.8,0
11002,Charlottetown,32.7,39.5,25.1,0,2.3,0
11003,Egmont,54.6,31.3,12.4,0,1.7,0
11004,Malpeque,39.1,42.4,14.6,0,3.9,0
12001,Cape Breton--Canso,32.6,44.1,20,0,3.2,0
12002,Central Nova,55.3,14,26.8,0,3.8,0.1
12003,Cumberland--Colchester,52.9,18.4,22.5,0,5.4,0.8
12004,Dartmouth--Cole Harbour,25,34.7,36.4,0,3.8,0
12005,Halifax,18,25.6,51.6,0,4.4,0.3
12006,Halifax West,30.2,37.3,28.4,0,4.1,0
12007,Kings--Hants,36.6,39.6,20,0,3.8,0
12008,Sackville--Preston--Chezzetcook,30.2,11.3,54.3,0,4.2,0
12009,South Shore--St. Margarets,42,18,36.1,0,4,0
12010,Sydney--Victoria,37.8,39.9,19,0,3.2,0
12011,West Nova,47,36.4,13.1,0,3.5,0
13001,Acadie--Bathurst,16.5,14.3,69.1,0,0.1,0
13002,Beausejour,31.7,40.7,23.4,0,4.2,0
13003,Fredericton,47,24,24.3,0,4.1,0
13004,Fundy Royal,57.9,10.4,26.9,0,4.7,0
13005,Madawaska--Restigouche,40.5,34.8,19.3,0,1.8,0
13006,Miramichi--Grand Lake,53.2,21.4,22.9,0,2.5,0
13007,Moncton--Riverview--Dieppe,36.8,30.5,28.5,0,4.3,0
13008,New Brunswick Southwest,56.7,13.6,23.3,0,5.1,0
13009,Saint John--Rothesay,49.7,16,30.7,0,2.8,0
13010,Tobique--Mactaquac,62.1,16.2,19.1,0,2.5,0
24001,Abitibi--Baie-James--Nunavik--Eeyou,22.6,10.5,44.8,18.3,3.9,0
24002,Abitibi--Temiscamingue,9.9,5.9,51.2,31.5,1.4,0
24003,Ahuntsic-Cartierville,8.6,31.1,29.9,28.3,1.5,0.6
24004,Alfred-Pellan,11.2,22.3,42.2,22.4,1.5,0.5
24005,Argenteuil--La Petite-Nation,14.7,13.7,45,23.3,2.6,0
24006,Avignon--La Mitis--Matane--Matapedia,13.2,23.2,26.6,34.5,2.5,0
24007,Beauce,50.7,11,30,6.7,1.6,0
24008,Beauport--Limoilou,25.3,6.4,45.9,20.1,1.9,0.5
24009,Becancour--Nicolet--Saurel,13,10.1,35.6,38.3,3,0
24010,Bellechasse--Les Etchemins--Levis,43.9,5.8,33.8,14.9,1.5,0
24011,Beloeil--Chambly,7.9,9,42.6,27.4,1.6,11.5
24012,Berthier--Maskinonge,12.7,12.1,41.2,31,2.3,0
24013,Therese-De Blainville,9.8,10.3,50,27.8,2.1,0
24014,Pierre-Boucher--Les Patriotes--Vercheres,8.4,9.9,44.8,34.2,2.1,0
24015,Bourassa,8.2,38.5,32.4,19,1.6,0.4
24016,Brome--Missisquoi,11.9,22.1,42.6,21.3,2.1,0
24017,Brossard--Saint-Lambert,12.8,32.8,36.8,15.9,1.5,0
24018,Rimouski-Neigette--Temiscouata--Les Basques,14.6,9.6,43,30.8,2,0
24019,Charlesbourg--Haute-Saint-Charles,30.3,6.5,45,16.3,1.6,0
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,23,5.3,38.2,31.7,1.7,0.1
24021,Chateauguay--Lacolle,12,10.2,48.7,26.9,1.9,0.2
24022,Chicoutimi--Le Fjord,25.6,5.8,37.7,28.8,1.5,0
24023,Compton--Stanstead,11.9,12,47.3,26.4,2.4,0
24024,Dorval--Lachine--LaSalle,14.2,29.4,41.1,11.5,3,0.8
24025,Drummond,15.9,8.4,51.6,22,2.1,0
24026,Gaspesie--Les iles-de-la-Madeleine,19.1,17,28.8,33.1,2,0
24027,Gatineau,8,13.8,62.1,14.9,1.1,0
24028,Hochelaga,7.2,11.7,47.5,30.8,1.7,1.2
24029,Honore-Mercier,13,33.5,35.2,16,1.6,0.7
24030,Hull--Aylmer,10,20.5,58.8,8.7,2,0
24031,Joliette,9.7,6.4,46.9,33,4,0
24032,Jonquiere,34.1,2.7,42.5,19.3,1.3,0.1
24033,La Pointe-de-l'ile,7.7,10.1,47.5,32.4,1.9,0.5
24034,La Prairie,9.4,13.2,50,25.7,1.5,0.2
24035,Lac-Saint-Jean,42.3,3.3,32.1,21,1.3,0
24036,Lac-Saint-Louis,28.4,34.1,30.1,3.1,4.3,0
24037,LaSalle--emard--Verdun,9.7,18.3,45.2,23.4,2.6,0
24038,Laurentides--Labelle,9.3,12.7,43.8,31.5,2.5,0
24039,Laurier--Sainte-Marie,3.9,10.7,46.5,34.9,2.6,1.3
24040,Laval--Les iles,16.4,20.6,47.2,12.9,1.8,1.1
24041,Longueuil--Charles-LeMoyne,10.5,13.3,45.4,28.3,2.4,0
24042,Levis--Lotbiniere,39.9,5.1,38.5,14.9,1.7,0
24043,Longueuil--Saint-Hubert,8.7,10.1,50,28.8,2.2,0.2
24044,Louis-Hebert,21.8,13.4,38.7,24.2,1.6,0.2
24045,Louis-Saint-Laurent,37.6,6.4,39.9,14.4,1.5,0
24046,Manicouagan,11.6,5.5,47.7,32.7,2.5,0
24047,Megantic--L'erable,49.1,6,26.3,16.6,1.5,0
24048,Mirabel,9.2,7.8,49.5,31,2,0
24049,Montarville,9.6,12.5,44.5,29.1,2.5,1.8
24050,Montcalm,7.9,4.9,51.9,31.4,3.8,0
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,36.3,5.8,36.4,20.1,1.5,0
24052,Mount Royal,35.6,41.4,17.9,2.9,1.8,0.5
24053,Notre-Dame-de-Grace--Westmount,17.7,38.2,35.1,4.1,4.4,0.6
24054,Outremont,8,21.6,55.7,11.6,2.2,0.9
24055,Papineau,5,37.9,29.5,24.9,1.9,0.8
24056,Pierrefonds--Dollard,26.9,30.5,34.1,5,3.6,0
24057,Pontiac,26.2,15.2,47.3,9.5,1.6,0.2
24058,Portneuf--Jacques-Cartier,0,6.6,42.7,20.5,2.4,0
24059,Quebec,17.8,9,42.6,28,2.2,0.4
24060,Repentigny,7.5,7.9,52.1,30.8,1.7,0
24061,Richmond--Arthabaska,24.7,7,32.5,33.8,2.1,0
24062,Riviere-des-Mille-iles,10.3,11.1,49.1,27.1,2.4,0
24063,Riviere-du-Nord,8.4,6.5,55.1,28.2,1.8,0
24064,Rosemont--La Petite-Patrie,4.3,9.1,51.1,32.8,1.7,1
24065,Marc-Aurele-Fortin,10.4,13.8,49,24.3,2.3,0
24066,Saint-Hyacinthe--Bagot,15.7,5.4,52.4,24.6,1.9,0
24067,Saint-Jean,10.7,8.8,47.5,30.5,2.5,0
24068,Saint-Laurent,19.1,42.9,29.1,6.4,2.1,0.4
24069,Saint-Leonard--Saint-Michel,13.6,42.2,32.3,9.6,1.8,0.5
24070,Saint-Maurice--Champlain,17.1,10.9,41.3,28.5,2,0.2
24071,Salaberry--Suroit,12.7,8.1,43.6,33.7,1.8,0
24072,Shefford,14.6,9,51.1,23.4,1.9,0
24073,Sherbrooke,9.2,9.8,43.5,35.4,1.7,0.4
24074,Vaudreuil--Soulanges,17.6,12.4,43.5,23.7,2.8,0
24075,Terrebonne,8.1,6.9,51.5,30.8,2.7,0
24076,Trois-Rivieres,13.1,10,49.7,24.2,1.9,1
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,11.9,27.5,41.5,16,2.8,0.3
24078,Vimy,12.8,20.4,42.7,21.7,1.9,0.5
35001,Ajax,44.2,37.9,15,0,2.7,0.1
35002,Algoma--Manitoulin--Kapuskasing,32.5,14.5,49.9,0,3.1,0
35003,Aurora--Oak Ridges--Richmond Hill,51.5,27.9,16,0,3.5,1.2
35004,Barrie--Innisfil,61.3,12.5,20.3,0,5.3,0.6
35005,Barrie--Springwater--Oro-Medonte,54.6,16.9,20,0,6.1,2.4
35006,Bay of Quinte,51.8,20.9,23,0,3.8,0.5
35007,Beaches--East York,22.7,30.8,41.6,0,4.6,0.3
35008,Brampton Centre,46.4,25.4,23.2,0,4.4,0.6
35009,Brampton East,29.5,30.7,37.6,0,1.7,0
35010,Brampton North,48.9,28.2,18.8,0,3.7,0.5
35011,Brampton South,45.4,35.4,16.4,0,2.3,0
35012,Brampton West,42,36.1,19.6,0,1.6,0
35013,Brantford--Brant,48.4,18.9,28.9,0,3.2,0.5
35014,Bruce--Grey--Owen Sound,56.3,16.1,17.6,0,10,0
35015,Burlington,54.1,23.2,18.9,0,3.5,0
35016,Cambridge,52.7,15.4,27.9,0,3.6,0.3
35017,Chatham-Kent--Leamington,53.2,16.3,27.2,0,3.3,0
35018,Davenport,14.2,27.9,53.7,0,3.4,0.8
35019,Don Valley East,36.4,38.4,21.9,0,2.8,0
