Geo_Code,FED_Name,TotalNumberOfPrivateHouseholdsByAgeGroupOfPrimaryHouseholdMaintainers,Under25Years,25To34Years,35To44Years,45To54Years,55To64Years,65To74Years,75AndOver
10001,Avalon,31745,505,3555,5855,7170,7550,4305,2810
10002,Bonavista--Burin--Trinity,31740,430,2445,4810,6635,8010,5400,4000
10003,Coast of Bays--Central--Notre Dame,32230,505,3105,5345,6800,7410,5310,3755
10004,Labrador,9685,345,1785,2225,2245,1835,935,310
10005,Long Range Mountains,36390,805,3195,5730,8020,8705,5970,3960
10006,St. John's East,32970,1985,5500,6390,6950,5945,3605,2595
10007,St. John's South--Mount Pearl,34080,1445,5065,6040,8020,6850,3805,2855
11001,Cardigan,14005,315,1580,2255,3140,3275,1920,1520
11002,Charlottetown,15000,930,2100,2230,3120,2840,1890,1890
11003,Egmont,13960,335,1635,2170,3045,3110,2010,1655
11004,Malpeque,13490,255,1420,2570,3095,3025,1940,1180
12001,Cape Breton--Canso,31275,395,2460,4290,6765,7665,5485,4220
12002,Central Nova,31785,825,2995,4670,7115,7065,4745,4360
12003,Cumberland--Colchester,35355,955,3545,5535,7350,7320,5700,4945
12004,Dartmouth--Cole Harbour,39380,1855,5655,6865,9480,7560,4310,3645
12005,Halifax,44045,5625,9185,6315,7965,6895,4060,4000
12006,Halifax West,36510,1620,6580,7005,8100,6405,3700,3110
12007,Kings--Hants,34075,1140,3830,5735,7770,6975,4745,3880
12008,Sackville--Preston--Chezzetcook,31620,610,3990,7035,8515,6275,3505,1695
12009,South Shore--St. Margarets,39565,590,3590,6120,9040,8485,6450,5300
12010,Sydney--Victoria,30675,600,3045,4285,6470,6820,5000,4460
12011,West Nova,36005,860,3720,5475,7660,7550,5770,4965
13001,Acadie--Bathurst,34105,555,3290,5180,7570,8300,5345,3865
13002,Beausejour,32560,850,4040,5410,7185,7255,4625,3200
13003,Fredericton,34210,2755,5945,6080,6680,5875,3665,3225
13004,Fundy Royal,30515,545,3575,5690,7330,6825,3835,2715
13005,Madawaska--Restigouche,27375,615,2580,3965,6360,6485,4080,3290
13006,Miramichi--Grand Lake,25045,515,2330,3775,5345,5605,4065,3410
13007,Moncton--Riverview--Dieppe,39605,2400,6720,6860,7665,6860,4625,4480
13008,New Brunswick Southwest,26965,575,3130,4575,5980,5760,3745,3195
13009,Saint John--Rothesay,35325,1585,4980,5860,7895,6755,4265,3985
13010,Tobique--Mactaquac,28325,775,3290,5010,6370,5905,3895,3080
24001,Abitibi--Baie-James--Nunavik--Eeyou,31305,1370,5415,5950,7215,5865,3415,2075
24002,Abitibi--Temiscamingue,44210,1965,6220,6660,10215,9165,6020,3975
24003,Ahuntsic-Cartierville,48820,1665,7795,9660,9825,8645,5420,5810
24004,Alfred-Pellan,36835,645,4145,6665,9600,7005,5025,3750
24005,Argenteuil--La Petite-Nation,40690,1215,4725,6295,9575,8980,6040,3860
24006,Avignon--La Mitis--Matane--Matapedia,33195,765,3575,4330,7370,7995,5160,3990
24007,Beauce,44425,1375,6940,6915,9825,9200,5655,4510
24008,Beauport--Limoilou,46715,2285,8160,6450,9330,9095,6120,5280
24009,Becancour--Nicolet--Saurel,41710,1030,4930,5745,8875,9685,6920,4520
24010,Bellechasse--Les Etchemins--Levis,48990,1570,7055,7085,10815,10440,7090,4935
24011,Beloeil--Chambly,43175,895,6905,8530,10255,8340,5260,2990
24012,Berthier--Maskinonge,42260,845,4885,6205,10010,9430,6825,4055
24013,Therese-De Blainville,38020,1210,5060,8215,10290,6655,4195,2400
24014,Pierre-Boucher--Les Patriotes--Vercheres,37360,790,4760,6795,9385,7755,5270,2610
24015,Bourassa,43110,1495,5560,7930,8630,7655,5620,6225
24016,Brome--Missisquoi,43830,1085,4720,6315,9190,10370,7355,4805
24017,Brossard--Saint-Lambert,40990,845,5105,6955,8510,8440,6190,4935
24018,Rimouski-Neigette--Temiscouata--Les Basques,37940,1565,4480,4915,8310,8900,5790,3995
24019,Charlesbourg--Haute-Saint-Charles,45490,1455,7150,7590,9480,8680,6465,4665
24020,Beauport--Cote-de-Beaupre--ile d'Orleans--Charlevoix,38355,675,4640,5885,9095,8470,5820,3770
24021,Chateauguay--Lacolle,35805,850,5045,6140,8585,6710,4925,3555
24022,Chicoutimi--Le Fjord,36535,1470,4995,4540,8185,7815,5150,4380
24023,Compton--Stanstead,41590,1190,6115,7240,9270,8750,5500,3525
24024,Dorval--Lachine--LaSalle,46685,1350,6735,8910,10155,8665,5895,4970
24025,Drummond,42975,1715,6860,6820,9135,8765,5750,3935
24026,Gaspesie--Les iles-de-la-Madeleine,34360,545,2800,4630,7950,8520,5780,4135
24027,Gatineau,44185,1760,6805,7850,11315,8300,4855,3305
24028,Hochelaga,53380,3140,11530,8970,10000,8685,5515,5540
24029,Honore-Mercier,41655,815,4435,7475,9010,7790,6050,6075
24030,Hull--Aylmer,46985,2450,8425,8595,10540,8725,4620,3625
24031,Joliette,44955,1335,5280,6150,9995,10105,7220,4865
24032,Jonquiere,37575,1220,5470,5235,8675,8445,5270,3260
24033,La Pointe-de-l'ile,46665,1715,6485,7370,10965,9490,5785,4850
24034,La Prairie,37735,780,5565,8660,10120,6790,4010,1800
24035,Lac-Saint-Jean,45165,1320,6055,6105,10560,10175,6525,4435
24036,Lac-Saint-Louis,38895,575,2870,7010,10780,8185,5135,4330
24037,LaSalle--emard--Verdun,51000,2140,9695,8960,9935,8975,5945,5360
24038,Laurentides--Labelle,51880,1140,5150,6890,11535,13085,8890,5190
