Geo_Code,FED_Name,TotPopAged15YearsAndOverByHighestDiploma,NoDiploma,HighSchoolDiplomaOrEquivalent,PostsecondaryCertificateDiplomaOrDegree,ApprenticeshipOrTradesCertificateOrDiploma,CollegeCEGEPOrOtherNonUniversityCertificateOrDiploma,UniversityCertificateOrDiplomaBelowBachelorLevel,UniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbove,BachelorDegree,UniversityCertificateDiplomaOrDegreeAboveBachelorLevel,MaleTotPopAged15YearsAndOverByHighestDiploma,MaleNoDiploma,MaleHighSchoolDiplomaOrEquivalent,MalePostsecondaryCertificateDiplomaOrDegree,MaleApprenticeshipOrTradesCertificateOrDiploma,MaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiploma,MaleUniversityCertificateOrDiplomaBelowBachelorLevel,MaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbove,MaleBachelorDegree,MaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevel,FemaleTotPopAged15YearsAndOverByHighestDiploma,FemaleNoDiploma,FemaleHighSchoolDiplomaOrEquivalent,FemalePostsecondaryCertificateDiplomaOrDegree,FemaleApprenticeshipOrTradesCertificateOrDiploma,FemaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiploma,FemaleUniversityCertificateOrDiplomaBelowBachelorLevel,FemaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbove,FemaleBachelorDegree,FemaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevel
10001,Avalon,66685,16225,15635,34825,10195,14705,1900,8025,5610,2420,32505,8015,7165,17335,6735,6380,900,3315,2205,1110,34175,8215,8475,17495,3460,8325,995,4710,3400,1310
10002,Bonavista--Burin--Trinity,65815,25275,14630,25905,9680,11240,1365,3625,2250,1375,32435,12310,6180,13950,6730,5220,480,1510,880,635,33380,12970,8450,11960,2950,6020,885,2105,1370,735
10003,Coast of Bays--Central--Notre Dame,65760,24540,15160,26055,8640,10775,1570,5075,3515,1560,31980,12160,6920,12905,5550,4480,565,2305,1440,870,33780,12380,8245,13155,3095,6295,1000,2765,2075,695
10004,Labrador,21230,6295,4220,10715,3605,4350,525,2235,1625,610,10730,3150,1930,5650,2540,2030,260,825,555,270,10500,3150,2290,5065,1070,2320,265,1410,1065,340
10005,Long Range Mountains,74550,25355,16920,32275,9795,13730,1895,6855,4410,2455,35935,12225,7720,15990,6505,5885,685,2910,1750,1165,38620,13130,9195,16290,3290,7845,1215,3945,2655,1285
10006,St. John's East,67725,10105,15745,41880,6640,13415,2725,19105,11345,7760,32405,5060,7535,19815,4090,5560,1145,9010,5135,3880,35325,5050,8205,22070,2545,7855,1580,10095,6210,3885
10007,St. John's South--Mount Pearl,69275,12845,17910,38525,7455,15920,2870,12280,8535,3740,32515,6140,8480,17890,4730,6585,1310,5270,3525,1740,36760,6700,9425,20635,2725,9330,1565,7015,5010,2005
11001,Cardigan,29330,6230,7240,15860,3705,6375,1035,4745,3435,1305,14375,3480,3655,7240,2575,2260,320,2090,1450,635,14955,2750,3585,8615,1135,4110,720,2655,1985,670
11002,Charlottetown,28495,4575,7325,16590,2115,6130,1290,7060,4585,2475,13115,2350,3710,7060,1260,2150,335,3310,2065,1250,15380,2225,3620,9530,850,3980,955,3745,2520,1225
11003,Egmont,27865,8580,7785,11495,2960,4790,580,3165,2100,1060,13490,4945,3380,5165,1925,1660,210,1370,950,415,14375,3635,4405,6330,1035,3130,370,1790,1150,645
