Geo_Code,FED_Name,TotalNumberOfPrivateHouseholdsByAgeGroupOfPrimaryHouseholdMaintainers,Under25Years,25To34Years,35To44Years,45To54Years,55To64Years,65To74Years,75AndOver,Under25YearsPct,25To34YearsPct,35To44YearsPct,45To54YearsPct,55To64YearsPct,65To74YearsPct,75AndOverPct
10001,Avalon,31745,505,3555,5855,7170,7550,4305,2810,1.591,11.199,18.444,22.586,23.783,13.561,8.852
10002,Bonavista--Burin--Trinity,31740,430,2445,4810,6635,8010,5400,4000,1.355,7.703,15.154,20.904,25.236,17.013,12.602
10003,Coast of Bays--Central--Notre Dame,32230,505,3105,5345,6800,7410,5310,3755,1.567,9.634,16.584,21.098,22.991,16.475,11.651
10004,Labrador,9685,345,1785,2225,2245,1835,935,310,3.562,18.431,22.974,23.180,18.947,9.654,3.201
10005,Long Range Mountains,36390,805,3195,5730,8020,8705,5970,3960,2.212,8.780,15.746,22.039,23.921,16.406,10.882
10006,St. John's East,32970,1985,5500,6390,6950,5945,3605,2595,6.021,16.682,19.381,21.080,18.032,10.934,7.871
10007,St. John's South--Mount Pearl,34080,1445,5065,6040,8020,6850,3805,2855,4.240,14.862,17.723,23.533,20.100,11.165,8.377
11001,Cardigan,14005,315,1580,2255,3140,3275,1920,1520,2.249,11.282,16.101,22.421,23.385,13.709,10.853
11002,Charlottetown,15000,930,2100,2230,3120,2840,1890,1890,6.200,14.000,14.867,20.800,18.933,12.600,12.600
11003,Egmont,13960,335,1635,2170,3045,3110,2010,1655,2.400,11.712,15.544,21.812,22.278,14.398,11.855
11004,Malpeque,13490,255,1420,2570,3095,3025,1940,1180,1.890,10.526,19.051,22.943,22.424,14.381,8.747
12001,Cape Breton--Canso,31275,395,2460,4290,6765,7665,5485,4220,1.263,7.866,13.717,21.631,24.508,17.538,13.493
12002,Central Nova,31785,825,2995,4670,7115,7065,4745,4360,2.596,9.423,14.692,22.385,22.227,14.928,13.717
12003,Cumberland--Colchester,35355,955,3545,5535,7350,7320,5700,4945,2.701,10.027,15.655,20.789,20.704,16.122,13.987
12004,Dartmouth--Cole Harbour,39380,1855,5655,6865,9480,7560,4310,3645,4.711,14.360,17.433,24.073,19.198,10.945,9.256
12005,Halifax,44045,5625,9185,6315,7965,6895,4060,4000,12.771,20.854,14.338,18.084,15.654,9.218,9.082
12006,Halifax West,36510,1620,6580,7005,8100,6405,3700,3110,4.437,18.022,19.187,22.186,17.543,10.134,8.518
12007,Kings--Hants,34075,1140,3830,5735,7770,6975,4745,3880,3.346,11.240,16.831,22.803,20.470,13.925,11.387
12008,Sackville--Preston--Chezzetcook,31620,610,3990,7035,8515,6275,3505,1695,1.929,12.619,22.249,26.929,19.845,11.085,5.361
12009,South Shore--St. Margarets,39565,590,3590,6120,9040,8485,6450,5300,1.491,9.074,15.468,22.848,21.446,16.302,13.396
12010,Sydney--Victoria,30675,600,3045,4285,6470,6820,5000,4460,1.956,9.927,13.969,21.092,22.233,16.300,14.540
12011,West Nova,36005,860,3720,5475,7660,7550,5770,4965,2.389,10.332,15.206,21.275,20.969,16.026,13.790
13001,Acadie--Bathurst,34105,555,3290,5180,7570,8300,5345,3865,1.627,9.647,15.188,22.196,24.337,15.672,11.333
13002,Beausejour,32560,850,4040,5410,7185,7255,4625,3200,2.611,12.408,16.615,22.067,22.282,14.205,9.828
13003,Fredericton,34210,2755,5945,6080,6680,5875,3665,3225,8.053,17.378,17.773,19.526,17.173,10.713,9.427
13004,Fundy Royal,30515,545,3575,5690,7330,6825,3835,2715,1.786,11.716,18.647,24.021,22.366,12.568,8.897
13005,Madawaska--Restigouche,27375,615,2580,3965,6360,6485,4080,3290,2.247,9.425,14.484,23.233,23.689,14.904,12.018
13006,Miramichi--Grand Lake,25045,515,2330,3775,5345,5605,4065,3410,2.056,9.303,15.073,21.342,22.380,16.231,13.615
13007,Moncton--Riverview--Dieppe,39605,2400,6720,6860,7665,6860,4625,4480,6.060,16.968,17.321,19.354,17.321,11.678,11.312
13008,New Brunswick Southwest,26965,575,3130,4575,5980,5760,3745,3195,2.132,11.608,16.966,22.177,21.361,13.888,11.849
13009,Saint John--Rothesay,35325,1585,4980,5860,7895,6755,4265,3985,4.487,14.098,16.589,22.350,19.122,12.074,11.281
13010,Tobique--Mactaquac,28325,775,3290,5010,6370,5905,3895,3080,2.736,11.615,17.688,22.489,20.847,13.751,10.874
24001,Abitibi--Baie-James--Nunavik--Eeyou,31305,1370,5415,5950,7215,5865,3415,2075,4.376,17.298,19.007,23.047,18.735,10.909,6.628
24002,Abitibi--Temiscamingue,44210,1965,6220,6660,10215,9165,6020,3975,4.445,14.069,15.064,23.106,20.731,13.617,8.991
24003,Ahuntsic-Cartierville,48820,1665,7795,9660,9825,8645,5420,5810,3.410,15.967,19.787,20.125,17.708,11.102,11.901
