Geo_Code,FED_Name,NoDiplomaPct,HighSchoolDiplomaOrEquivalentPct,PostsecondaryCertificateDiplomaOrDegreePct,ApprenticeshipOrTradesCertificateOrDiplomaPct,CollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,UniversityCertificateOrDiplomaBelowBachelorLevelPct,UniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,BachelorDegreePct,UniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct,MaleNoDiplomaPct,MaleHighSchoolDiplomaOrEquivalentPct,MalePostsecondaryCertificateDiplomaOrDegreePct,MaleApprenticeshipOrTradesCertificateOrDiplomaPct,MaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,MaleUniversityCertificateOrDiplomaBelowBachelorLevelPct,MaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,MaleBachelorDegreePct,MaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct,FemaleNoDiplomaPct,FemaleHighSchoolDiplomaOrEquivalentPct,FemalePostsecondaryCertificateDiplomaOrDegreePct,FemaleApprenticeshipOrTradesCertificateOrDiplomaPct,FemaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,FemaleUniversityCertificateOrDiplomaBelowBachelorLevelPct,FemaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,FemaleBachelorDegreePct,FemaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct
10001,Avalon,24.331,23.446,52.223,15.288,22.051,2.849,12.034,8.413,3.629,24.658,22.043,53.33,20.72,19.628,2.769,10.198,6.784,3.415,24.038,24.799,51.192,10.124,24.36,2.911,13.782,9.949,3.833
10002,Bonavista--Burin--Trinity,38.403,22.229,39.36,14.708,17.078,2.074,5.508,3.419,2.089,37.953,19.053,43.009,20.749,16.094,1.48,4.655,2.713,1.958,38.856,25.315,35.83,8.838,18.035,2.651,6.306,4.104,2.202
10003,Coast of Bays--Central--Notre Dame,37.318,23.054,39.621,13.139,16.385,2.387,7.717,5.345,2.372,38.024,21.639,40.353,17.355,14.009,1.767,7.208,4.503,2.72,36.649,24.408,38.943,9.162,18.635,2.96,8.185,6.143,2.057
10004,Labrador,29.651,19.878,50.471,16.981,20.49,2.473,10.528,7.654,2.873,29.357,17.987,52.656,23.672,18.919,2.423,7.689,5.172,2.516,30,21.81,48.238,10.19,22.095,2.524,13.429,10.143,3.238
10005,Long Range Mountains,34.011,22.696,43.293,13.139,18.417,2.542,9.195,5.915,3.293,34.02,21.483,44.497,18.102,16.377,1.906,8.098,4.87,3.242,33.998,23.809,42.18,8.519,20.313,3.146,10.215,6.875,3.327
10006,St. John's East,14.921,23.248,61.838,9.804,19.808,4.024,28.21,16.752,11.458,15.615,23.253,61.148,12.622,17.158,3.533,27.804,15.846,11.973,14.296,23.227,62.477,7.205,22.236,4.473,28.577,17.58,10.998
10007,St. John's South--Mount Pearl,18.542,25.853,55.612,10.761,22.981,4.143,17.726,12.32,5.399,18.884,26.08,55.021,14.547,20.252,4.029,16.208,10.841,5.351,18.226,25.639,56.134,7.413,25.381,4.257,19.083,13.629,5.454
11001,Cardigan,21.241,24.685,54.074,12.632,21.735,3.529,16.178,11.712,4.449,24.209,25.426,50.365,17.913,15.722,2.226,14.539,10.087,4.417,18.388,23.972,57.606,7.589,27.482,4.814,17.753,13.273,4.48
11002,Charlottetown,16.055,25.706,58.221,7.422,21.513,4.527,24.776,16.091,8.686,17.918,28.288,53.831,9.607,16.393,2.554,25.238,15.745,9.531,14.467,23.537,61.964,5.527,25.878,6.209,24.35,16.385,7.965
11003,Egmont,30.791,27.938,41.252,10.623,17.19,2.081,11.358,7.536,3.804,36.657,25.056,38.288,14.27,12.305,1.557,10.156,7.042,3.076,25.287,30.643,44.035,7.2,21.774,2.574,12.452,8,4.487
11004,Malpeque,19.183,26.723,54.094,11.257,23.759,3.384,15.729,10.766,4.945,21.552,27.443,51.006,15.912,19.109,2.478,13.506,8.19,5.316,16.924,26.002,57.04,6.817,28.16,4.214,17.814,13.224,4.591
12001,Cape Breton--Canso,26.729,23.039,50.233,15.335,18.387,4.171,12.331,8.421,3.919,27.595,21.71,50.695,23.312,14.517,2.959,9.923,6.523,3.4,25.925,24.28,49.81,7.921,21.995,5.301,14.577,10.19,4.387
12002,Central Nova,25.224,23.589,51.194,12.985,20.608,3.206,14.396,9.009,5.386,27.21,23.022,49.768,17.362,17.378,2.483,12.546,7.464,5.098,23.345,24.122,52.518,8.875,23.64,3.886,16.133,10.46,5.657
12003,Cumberland--Colchester,27.128,25.546,47.319,12.46,20.081,3.156,11.629,7.15,4.48,29.535,24.973,45.477,17.079,14.99,2.672,10.72,6.343,4.377,24.912,26.069,49.005,8.2,24.757,3.571,12.463,7.89,4.573
12004,Dartmouth--Cole Harbour,16.615,25.572,57.819,10.196,20.976,4.426,22.221,15.212,7.003,16.572,25.629,57.814,13.835,18.516,4.306,21.156,14.266,6.876,16.654,25.509,57.837,6.955,23.162,4.545,23.162,16.046,7.104
12005,Halifax,12.99,24.058,62.952,6.704,13.977,3.864,38.401,23.084,15.324,12.962,25.222,61.816,9.149,11.664,3.734,37.257,21.938,15.332,13.015,22.978,63.995,4.467,16.114,3.983,39.431,24.128,15.303
12006,Halifax West,13.139,22.459,64.401,8.159,18.843,4.82,32.594,21.889,10.712,13.66,23.352,62.989,10.533,16.286,4.145,32.025,21.065,10.96,12.674,21.637,65.675,6.041,21.124,5.409,33.101,22.638,10.476
12007,Kings--Hants,24.494,24.393,51.113,12.236,19.882,3.194,15.794,10.039,5.762,27.102,24.094,48.804,15.927,16.318,2.632,13.912,8.197,5.73,22.059,24.665,53.275,8.776,23.2,3.733,17.552,11.748,5.804
12008,Sackville--Preston--Chezzetcook,18.84,25.475,55.685,13.169,22.287,3.569,16.667,11.435,5.232,20.177,25.567,54.271,17.482,19.794,2.931,14.05,9.735,4.315,17.565,25.376,57.058,9.05,24.673,4.18,19.17,13.061,6.108
