Geo_Code,FED_Name,TotalPopInPrivateHouseholdbyMinority,TotalVisibleMinPop,TotSouthAsian,TotChinese,TotBlack,TotFilipino,TotLatinAmerican,TotArab,TotSoutheastAsian,TotWestAsian,TotKorean,TotJapanese,TotVisibleMinority,TotMultipleVisibleMinorities,TotNotVisibleMinority,MaleTotalPopPrivateHouseholdsByVisibleMinority,MaleTotVisibleMinorityPop,MaleSouthAsian,MaleChinese,MaleBlack,MaleFilipino,MaleLatinAmerica,MaleArab,MaleSoutheastAsian,MaleWestAsian,MaleKorean,MaleJapanese,MaleVisibleMinority,MaleMultipleVisibleMinorities,MaleNotVisibleMinority,FemaleTotPopPrivateHouseholdsByVisibleMinority,FemaleTotalVisibleMinorityPop,FemaleSouthAsian,FemaleChinese,FemaleBlack,FemaleFilipino,FemaleLatinAmerican,FemaleArab,FemaleSoutheastAsian,FemaleWestAsian,FemaleKorean,FemaleJapanese,FemaleVisibleMinority,FemaleMultipleVisibleMinorities,FemaleNotVisibleMinority
10001,Avalon,80155,455,90,180,80,45,0,0,0,0,0,0,0,15,79695,39650,255,50,105,45,0,0,0,0,0,0,0,0,0,39400,40505,205,45,75,30,0,0,0,0,0,0,0,0,0,40300
10002,Bonavista--Burin--Trinity,75955,460,95,65,90,0,0,60,35,0,0,0,60,20,75495,37485,260,60,40,45,0,0,35,0,0,0,0,35,0,37225,38475,200,40,30,45,0,0,25,0,0,0,0,0,10,38275
10003,Coast of Bays--Central--Notre Dame,76750,560,105,210,85,55,0,50,0,0,0,0,30,10,76190,37665,245,70,90,40,10,0,0,0,0,0,0,0,0,37425,39080,320,30,125,50,45,0,35,0,0,0,0,0,0,38765
10004,Labrador,26550,335,130,15,55,60,10,0,0,0,0,0,20,0,26215,13470,135,50,0,15,0,0,0,0,0,0,0,0,0,13340,13075,205,80,0,35,30,0,0,0,0,0,0,15,0,12870
10005,Long Range Mountains,86510,465,155,45,95,65,0,40,0,0,0,0,20,30,86040,42115,245,80,20,45,45,0,0,0,0,0,0,15,10,41870,44395,225,80,25,45,25,0,0,0,0,0,0,0,25,44175
10006,St. John's East,80485,3460,1050,910,595,85,105,135,200,145,0,45,30,135,77030,39045,2005,600,475,380,50,65,85,145,85,0,35,0,70,37045,41440,1450,450,435,210,35,40,55,60,60,0,0,0,65,39985
10007,St. John's South--Mount Pearl,80860,1190,230,215,460,35,35,70,40,0,45,0,0,0,79675,38520,610,135,105,255,0,20,40,30,0,0,0,0,0,37915,42340,580,95,110,205,35,10,30,0,0,0,0,0,0,41760
11001,Cardigan,35535,465,55,230,55,10,0,0,0,15,0,0,0,0,35075,17550,225,35,115,30,0,0,0,0,0,0,0,0,0,17330,17980,235,20,115,20,0,0,0,0,0,0,0,0,0,17740
11002,Charlottetown,33315,2975,345,1305,260,30,130,165,130,315,95,155,0,35,30335,15405,1405,155,685,85,0,60,85,80,145,40,25,0,20,14005,17905,1580,195,625,175,15,70,85,55,170,55,125,0,20,16330
11003,Egmont,33820,560,65,125,25,40,80,0,65,0,0,25,0,0,33260,16540,300,40,0,0,25,40,0,35,0,0,0,0,0,16240,17280,260,25,55,30,0,40,0,0,0,0,0,0,0,17020
11004,Malpeque,34705,260,20,170,45,0,0,0,0,0,0,0,0,0,34445,17010,95,0,75,10,0,0,0,0,0,0,0,0,0,16915,17700,160,25,90,35,0,0,0,0,0,0,0,0,0,17530
12001,Cape Breton--Canso,74320,1345,135,150,810,120,55,15,0,0,0,25,0,15,72980,36200,555,50,60,340,0,30,15,0,0,0,0,0,0,35650,38120,785,85,85,470,75,30,0,0,0,0,0,0,10,37335
12002,Central Nova,73660,1690,135,160,855,215,40,110,0,0,25,0,65,65,71975,35805,915,80,65,440,135,0,75,0,0,0,0,40,40,34890,37855,775,55,90,410,75,30,0,0,0,15,0,25,0,37085
12003,Cumberland--Colchester,80265,1905,225,195,1110,55,55,90,10,0,0,0,130,0,78355,38850,895,105,60,620,30,30,45,0,0,0,0,0,0,37955,41415,1010,120,130,485,20,25,50,0,0,0,0,130,0,40405
12004,Dartmouth--Cole Harbour,90095,7080,860,555,4010,265,195,350,280,130,20,45,145,240,83025,43030,3440,480,265,1890,125,115,210,140,60,0,10,50,80,39595,47065,3640,385,285,2115,135,80,140,135,75,0,35,90,160,43425
12005,Halifax,89505,12005,1295,2150,3780,480,365,2125,365,470,280,145,215,340,77500,43120,6280,655,1165,1870,205,185,1405,165,275,70,55,105,125,36840,46385,5725,640,980,1915,270,175,725,195,195,215,90,110,215,40660
12006,Halifax West,86170,11290,1665,1500,2560,520,385,2845,240,590,470,35,60,435,74880,41330,5785,895,760,1375,215,165,1515,105,310,210,0,30,205,35545,44840,5505,765,740,1185,305,220,1325,130,285,255,30,30,230,39335
12007,Kings--Hants,82225,2145,125,310,1110,85,60,190,100,0,35,35,0,60,80085,40255,1120,50,160,610,25,20,135,35,0,15,0,0,45,39130,41975,1020,70,150,500,55,40,50,65,0,20,30,0,15,40955
12008,Sackville--Preston--Chezzetcook,85040,4120,85,325,3285,30,60,90,20,15,70,40,25,70,80915,41955,2050,45,175,1605,0,45,45,15,0,50,25,0,35,39905,43080,2070,45,150,1685,25,20,45,0,10,0,0,25,30,41010
12009,South Shore--St. Margarets,91330,1560,130,280,725,60,70,115,0,95,0,40,0,30,89775,45080,760,75,110,410,15,30,70,0,0,0,10,0,0,44320,46255,795,55,170,315,40,40,50,0,75,0,25,0,20,45455
12010,Sydney--Victoria,71730,1835,165,330,810,35,35,315,55,25,20,20,0,0,69895,34335,960,60,175,390,0,0,275,0,0,0,0,0,0,33385,37390,885,105,155,415,30,25,40,35,0,0,0,0,0,36510
12011,West Nova,81820,2300,145,110,1740,40,45,45,80,0,0,40,30,20,79520,39595,1210,95,45,985,0,10,30,0,0,0,0,0,0,38385,42225,1090,50,60,760,40,35,20,60,0,0,35,0,0,41135
13001,Acadie--Bathurst,77635,500,55,165,75,60,15,35,0,0,30,15,0,0,77135,38585,220,25,40,60,35,0,30,0,0,0,0,0,0,38365,39055,280,25,125,25,25,0,0,0,0,0,0,0,0,38770
13002,Beausejour,77985,920,60,105,255,75,165,55,35,0,145,0,0,10,77060,38800,445,30,40,170,0,35,35,25,0,80,0,0,0,38355,39180,480,30,65,80,60,130,0,0,0,65,0,0,0,38705
13003,Fredericton,80195,4140,845,890,725,240,355,220,45,135,460,120,20,90,76060,39030,2105,455,440,345,95,210,140,25,80,225,60,0,30,36930,41160,2035,395,445,375,140,145,80,25,60,240,60,0,60,39130
13004,Fundy Royal,78780,1335,130,135,370,75,135,25,40,25,225,120,0,45,77445,39035,575,80,30,195,0,45,20,15,0,115,20,0,25,38460,39745,760,45,105,175,70,90,0,30,20,110,100,0,15,38985
13005,Madawaska--Restigouche,60630,525,165,50,130,40,0,125,0,0,0,0,0,0,60105,29535,275,100,40,50,20,0,75,0,0,0,0,0,0,29255,31100,245,70,0,75,25,0,50,0,0,0,0,0,0,30850
13006,Miramichi--Grand Lake,58625,555,115,150,210,40,0,0,0,0,0,0,0,0,58070,28670,320,60,115,120,20,0,0,0,0,0,0,0,0,28350,29950,230,60,35,95,25,0,0,0,0,0,0,0,0,29715
13007,Moncton--Riverview--Dieppe,87480,4010,510,335,1385,255,100,345,395,75,515,0,30,60,83475,41645,1925,240,170,680,70,55,200,200,40,240,0,0,15,39725,45835,2085,270,160,705,185,45,140,195,40,280,0,0,45,43750
13008,New Brunswick Southwest,65255,625,30,110,225,65,60,0,30,0,60,0,0,35,64630,32085,340,25,55,110,30,40,0,0,0,30,0,0,20,31745,33170,280,0,60,115,30,20,0,0,0,25,0,0,0,32885
13009,Saint John--Rothesay,79870,3705,380,570,1285,170,175,520,100,50,345,25,10,90,76165,37840,2035,205,285,720,100,80,340,50,30,170,15,0,40,35805,42035,1675,175,285,565,75,95,175,50,15,170,0,0,50,40360
13010,Tobique--Mactaquac,69380,810,150,25,220,70,145,45,55,0,70,0,0,10,68565,34260,410,85,10,150,0,65,0,0,0,40,0,0,0,33850,35115,400,70,15,70,50,75,30,40,0,30,0,0,0,34715
24001,Abitibi--Baie-James--Nunavik--Eeyou,84445,825,30,65,295,10,90,190,110,0,0,0,0,15,83625,43080,440,10,10,175,0,40,110,70,0,0,0,0,10,42640,41365,385,20,60,115,0,50,85,40,0,0,0,0,0,40980
24002,Abitibi--Temiscamingue,100520,680,10,155,220,15,70,155,45,0,0,0,0,0,99840,50610,355,0,50,125,0,40,115,10,0,0,0,0,0,50250,49915,320,0,105,90,10,35,40,35,0,0,0,0,0,49590
24003,Ahuntsic-Cartierville,106525,39030,3770,1890,10985,185,4905,12975,2600,665,50,40,220,745,67490,52230,19870,1935,955,5470,65,2385,6965,1250,330,20,20,85,385,32365,54295,19165,1835,935,5510,120,2525,6010,1355,335,30,25,130,360,35130
24004,Alfred-Pellan,95425,17835,285,535,8855,80,2675,3670,1255,255,20,0,20,170,77590,46410,8620,170,225,4270,20,1325,1825,555,130,0,0,0,65,37785,49015,9215,120,310,4585,60,1350,1850,700,125,0,0,0,95,39805
24005,Argenteuil--La Petite-Nation,92625,970,55,165,320,60,150,80,65,0,0,25,0,25,91660,46440,435,20,70,130,0,80,30,35,0,0,20,0,0,46010,46185,535,40,100,190,35,70,45,30,0,0,0,0,0,45650
24006,Avignon--La Mitis--Matane--Matapedia,72380,700,35,140,160,35,105,140,45,0,0,0,0,20,71680,35970,280,15,0,65,30,60,60,30,0,0,0,0,0,35690,36410,415,20,135,90,0,50,75,20,0,0,0,0,0,35990
24007,Beauce,104085,700,155,120,165,0,125,30,80,0,0,0,0,20,103385,52655,305,60,30,80,0,75,25,30,0,0,0,0,0,52340,51435,390,95,90,90,0,50,0,55,0,0,0,0,0,51040
24008,Beauport--Limoilou,89455,4340,160,170,1590,0,1235,600,325,50,30,70,20,80,85120,42980,2315,80,65,895,0,640,345,155,0,15,35,20,55,40660,46480,2020,85,110,700,0,600,255,170,0,15,40,0,25,44460
24009,Becancour--Nicolet--Saurel,91215,710,50,65,270,25,105,115,45,0,0,20,0,0,90505,45565,315,35,0,110,0,35,60,35,0,0,0,0,0,45245,45655,390,20,50,160,0,70,50,15,0,0,0,0,0,45260
24010,Bellechasse--Les Etchemins--Levis,108400,1200,45,280,270,25,240,130,135,0,15,30,0,25,107200,53665,595,15,75,145,0,115,115,70,0,15,0,0,15,53075,54735,605,30,205,130,0,120,15,65,0,0,0,0,0,54125
24011,Beloeil--Chambly,107620,2180,65,360,560,20,350,265,315,30,30,45,35,115,105435,53120,1055,35,100,295,0,170,165,185,15,0,0,0,60,52060,54500,1125,25,255,265,0,185,105,130,0,25,35,0,55,53370
24012,Berthier--Maskinonge,96560,735,30,35,245,50,145,65,120,0,0,0,20,20,95820,48875,415,0,10,120,30,80,45,70,0,0,0,0,0,48465,47675,320,0,30,120,0,65,20,55,0,0,0,0,0,47360
24013,Therese-De Blainville,96725,4260,150,345,1675,30,740,720,395,30,25,45,35,85,92460,47460,2210,105,110,920,0,370,375,235,20,10,0,20,20,45245,49265,2055,45,230,755,20,370,340,160,15,15,30,15,60,47215
24014,Pierre-Boucher--Les Patriotes--Vercheres,94110,2505,25,310,715,35,415,615,235,30,30,0,35,65,91605,46870,1245,15,120,360,15,185,340,130,15,0,0,20,50,45620,47245,1260,0,190,355,15,230,285,105,20,15,0,20,15,45980
24015,Bourassa,97360,39135,640,560,19815,60,6045,9055,1905,300,0,0,220,520,58225,46100,19205,340,300,9210,25,3055,4780,885,160,0,0,135,325,26900,51260,19930,300,260,10610,40,2995,4280,1025,140,0,0,80,200,31330
24016,Brome--Missisquoi,96885,805,55,190,125,55,120,55,55,0,20,45,35,15,96085,48035,375,25,75,70,25,60,25,20,0,0,35,0,0,47660,48850,425,25,110,55,35,60,30,30,0,15,10,30,0,48420
24017,Brossard--Saint-Lambert,99540,31960,3530,10010,3760,870,2945,4195,2850,1835,355,115,780,720,67585,47730,15655,1790,4905,1795,345,1455,2135,1400,960,160,30,320,350,32075,51815,16300,1735,5100,1970,525,1490,2055,1450,875,195,80,455,370,35505
24018,Rimouski-Neigette--Temiscouata--Les Basques,81655,680,45,100,250,0,105,90,15,0,0,0,35,0,80980,40495,305,0,15,150,0,50,55,0,0,0,0,0,0,40190,41165,365,40,85,100,0,55,35,0,0,0,0,20,0,40795
24019,Charlesbourg--Haute-Saint-Charles,101500,1810,95,310,480,20,410,320,95,0,25,0,25,20,99690,49325,895,55,120,235,0,165,215,45,0,15,0,20,0,48430,52170,915,35,190,245,10,245,105,50,0,0,0,0,15,51260
24020,Beauport--Cote-de-Beaupre--ile d'Orleans--Charlevoix,90130,900,65,180,340,35,75,75,30,0,20,0,70,0,89230,44895,390,25,45,145,0,35,45,25,0,20,0,0,0,44505,45235,510,45,130,200,0,40,30,0,0,0,0,35,0,44725
24021,Chateauguay--Lacolle,90710,6625,600,380,3065,120,1050,545,285,170,0,0,90,305,84085,45125,3280,305,205,1445,55,505,310,145,95,0,0,40,165,41845,45585,3345,290,180,1620,65,545,240,145,70,0,0,50,140,42245
24022,Chicoutimi--Le Fjord,79365,815,25,175,235,25,85,190,35,0,0,0,0,0,78550,39260,365,0,30,110,0,50,110,25,0,0,0,0,0,38890,40110,450,0,145,125,25,35,80,10,0,0,0,0,0,39655
24023,Compton--Stanstead,100705,1315,65,195,305,25,350,150,120,0,0,15,30,40,99385,51200,545,35,55,145,0,175,30,55,0,0,0,0,0,50660,49505,765,35,140,160,0,175,115,65,0,0,0,25,30,48730
24024,Dorval--Lachine--LaSalle,104480,31685,4415,3235,12740,1670,3105,3110,810,870,405,105,445,760,72795,50145,15040,2245,1510,5835,720,1455,1650,385,435,180,55,205,365,35105,54335,16640,2175,1730,6910,950,1650,1455,420,440,230,55,240,395,37695
24025,Drummond,95870,1915,25,195,435,0,785,275,160,0,0,0,0,0,93960,48085,990,0,80,240,0,390,160,85,0,0,0,0,0,47090,47790,925,0,115,190,0,395,115,70,0,0,0,0,0,46865
24026,Gaspesie--Les iles-de-la-Madeleine,77170,265,0,35,30,30,45,20,55,0,20,0,0,15,76905,38000,130,0,0,20,0,20,0,25,0,15,0,0,10,37870,39170,135,0,25,15,0,25,0,25,0,0,0,0,10,39035
24027,Gatineau,104810,7520,90,345,3350,115,1065,1995,210,115,50,20,90,80,97290,50760,3705,40,130,1590,20,550,1065,100,65,20,0,65,50,47060,54050,3815,50,210,1765,90,515,925,110,45,35,10,25,35,50235
