Geo_Code,FED_Name,TotalPopInPrivateHouseholdbyMinority,TotalVisibleMinPop,TotSouthAsian,TotChinese,TotBlack,TotFilipino,TotLatinAmerican,TotArab,TotSoutheastAsian,TotWestAsian,TotKorean,TotJapanese,TotVisibleMinority,TotMultipleVisibleMinorities,TotNotVisibleMinority,TotalVisibleMinPopPct,TotSouthAsianPct,TotChinesePct,TotBlackPct,TotFilipinoPct,TotLatinAmericanPct,TotArabPct,TotSoutheastAsianPct,TotWestAsianPct,TotKoreanPct,TotJapanesePct,TotVisibleMinorityPct,TotMultipleVisibleMinoritiesPct,TotNotVisibleMinorityPct,MaleTotalPopPrivateHouseholdsByVisibleMinority,MaleTotVisibleMinorityPop,MaleSouthAsian,MaleChinese,MaleBlack,MaleFilipino,MaleLatinAmerica,MaleArab,MaleSoutheastAsian,MaleWestAsian,MaleKorean,MaleJapanese,MaleVisibleMinority,MaleMultipleVisibleMinorities,MaleNotVisibleMinority,MaleTotVisibleMinorityPopPct,MaleSouthAsianPct,MaleChinesePct,MaleBlackPct,MaleFilipinoPct,MaleLatinAmericaPct,MaleArabPct,MaleSoutheastAsianPct,MaleWestAsianPct,MaleKoreanPct,MaleJapanesePct,MaleVisibleMinorityPct,MaleMultipleVisibleMinoritiesPct,MaleNotVisibleMinorityPct,FemaleTotPopPrivateHouseholdsByVisibleMinority,FemaleTotalVisibleMinorityPop,FemaleSouthAsian,FemaleChinese,FemaleBlack,FemaleFilipino,FemaleLatinAmerican,FemaleArab,FemaleSoutheastAsian,FemaleWestAsian,FemaleKorean,FemaleJapanese,FemaleVisibleMinority,FemaleMultipleVisibleMinorities,FemaleNotVisibleMinority,FemaleTotalVisibleMinorityPopPct,FemaleSouthAsianPct,FemaleChinesePct,FemaleBlackPct,FemaleFilipinoPct,FemaleLatinAmericanPct,FemaleArabPct,FemaleSoutheastAsianPct,FemaleWestAsianPct,FemaleKoreanPct,FemaleJapanesePct,FemaleVisibleMinorityPct,FemaleMultipleVisibleMinoritiesPct,FemaleNotVisibleMinorityPct
10001,Avalon,80155,455,90,180,80,45,0,0,0,0,0,0,0,15,79695,0.568,0.112,0.225,0.100,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,99.426,39650,255,50,105,45,0,0,0,0,0,0,0,0,0,39400,0.643,0.126,0.265,0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.369,40505,205,45,75,30,0,0,0,0,0,0,0,0,0,40300,0.506,0.111,0.185,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.494
10002,Bonavista--Burin--Trinity,75955,460,95,65,90,0,0,60,35,0,0,0,60,20,75495,0.606,0.125,0.086,0.118,0.000,0.000,0.079,0.046,0.000,0.000,0.000,0.079,0.026,99.394,37485,260,60,40,45,0,0,35,0,0,0,0,35,0,37225,0.694,0.160,0.107,0.120,0.000,0.000,0.093,0.000,0.000,0.000,0.000,0.093,0.000,99.306,38475,200,40,30,45,0,0,25,0,0,0,0,0,10,38275,0.520,0.104,0.078,0.117,0.000,0.000,0.065,0.000,0.000,0.000,0.000,0.000,0.026,99.480
10003,Coast of Bays--Central--Notre Dame,76750,560,105,210,85,55,0,50,0,0,0,0,30,10,76190,0.730,0.137,0.274,0.111,0.072,0.000,0.065,0.000,0.000,0.000,0.000,0.039,0.013,99.270,37665,245,70,90,40,10,0,0,0,0,0,0,0,0,37425,0.650,0.186,0.239,0.106,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.363,39080,320,30,125,50,45,0,35,0,0,0,0,0,0,38765,0.819,0.077,0.320,0.128,0.115,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,99.194
10004,Labrador,26550,335,130,15,55,60,10,0,0,0,0,0,20,0,26215,1.262,0.490,0.056,0.207,0.226,0.038,0.000,0.000,0.000,0.000,0.000,0.075,0.000,98.738,13470,135,50,0,15,0,0,0,0,0,0,0,0,0,13340,1.002,0.371,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99.035,13075,205,80,0,35,30,0,0,0,0,0,0,15,0,12870,1.568,0.612,0.000,0.268,0.229,0.000,0.000,0.000,0.000,0.000,0.000,0.115,0.000,98.432
10005,Long Range Mountains,86510,465,155,45,95,65,0,40,0,0,0,0,20,30,86040,0.538,0.179,0.052,0.110,0.075,0.000,0.046,0.000,0.000,0.000,0.000,0.023,0.035,99.457,42115,245,80,20,45,45,0,0,0,0,0,0,15,10,41870,0.582,0.190,0.047,0.107,0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.024,99.418,44395,225,80,25,45,25,0,0,0,0,0,0,0,25,44175,0.507,0.180,0.056,0.101,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,99.504
10006,St. John's East,80485,3460,1050,910,595,85,105,135,200,145,0,45,30,135,77030,4.299,1.305,1.131,0.739,0.106,0.130,0.168,0.248,0.180,0.000,0.056,0.037,0.168,95.707,39045,2005,600,475,380,50,65,85,145,85,0,35,0,70,37045,5.135,1.537,1.217,0.973,0.128,0.166,0.218,0.371,0.218,0.000,0.090,0.000,0.179,94.878,41440,1450,450,435,210,35,40,55,60,60,0,0,0,65,39985,3.499,1.086,1.050,0.507,0.084,0.097,0.133,0.145,0.145,0.000,0.000,0.000,0.157,96.489
10007,St. John's South--Mount Pearl,80860,1190,230,215,460,35,35,70,40,0,45,0,0,0,79675,1.472,0.284,0.266,0.569,0.043,0.043,0.087,0.049,0.000,0.056,0.000,0.000,0.000,98.535,38520,610,135,105,255,0,20,40,30,0,0,0,0,0,37915,1.584,0.350,0.273,0.662,0.000,0.052,0.104,0.078,0.000,0.000,0.000,0.000,0.000,98.429,42340,580,95,110,205,35,10,30,0,0,0,0,0,0,41760,1.370,0.224,0.260,0.484,0.083,0.024,0.071,0.000,0.000,0.000,0.000,0.000,0.000,98.630
11001,Cardigan,35535,465,55,230,55,10,0,0,0,15,0,0,0,0,35075,1.309,0.155,0.647,0.155,0.028,0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.000,98.706,17550,225,35,115,30,0,0,0,0,0,0,0,0,0,17330,1.282,0.199,0.655,0.171,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,98.746,17980,235,20,115,20,0,0,0,0,0,0,0,0,0,17740,1.307,0.111,0.640,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,98.665
11002,Charlottetown,33315,2975,345,1305,260,30,130,165,130,315,95,155,0,35,30335,8.930,1.036,3.917,0.780,0.090,0.390,0.495,0.390,0.946,0.285,0.465,0.000,0.105,91.055,15405,1405,155,685,85,0,60,85,80,145,40,25,0,20,14005,9.120,1.006,4.447,0.552,0.000,0.389,0.552,0.519,0.941,0.260,0.162,0.000,0.130,90.912,17905,1580,195,625,175,15,70,85,55,170,55,125,0,20,16330,8.824,1.089,3.491,0.977,0.084,0.391,0.475,0.307,0.949,0.307,0.698,0.000,0.112,91.204
11003,Egmont,33820,560,65,125,25,40,80,0,65,0,0,25,0,0,33260,1.656,0.192,0.370,0.074,0.118,0.237,0.000,0.192,0.000,0.000,0.074,0.000,0.000,98.344,16540,300,40,0,0,25,40,0,35,0,0,0,0,0,16240,1.814,0.242,0.000,0.000,0.151,0.242,0.000,0.212,0.000,0.000,0.000,0.000,0.000,98.186,17280,260,25,55,30,0,40,0,0,0,0,0,0,0,17020,1.505,0.145,0.318,0.174,0.000,0.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,98.495
