Geo_Code,FED_Name,TotIncome2010Pop15YearsAndOver,Under5000,5000To9999,10000To14999,15000To19999,20000To29999,30000To39999,40000To49999,50000To59999,60000To79999,80000To99999,100000To124999,125000AndOver,MaleTotIncome2010Pop15YearsAndOver,MaleUnder5000,Male5000To9999,Male10000To14999,Male15000To19999,Male20000To29999,Male30000To39999,Male40000To49999,Male50000To59999,Male60000To79999 ,Male80000To99999,Male100000To124999,Male125000AndOver,FemaleTotIncome2010Pop15YearsAndOver,FemaleUnder5000,Female5000To9999,Female10000To14999,Female15000To19999,Female20000To29999,Female30000To39999,Female40000To49999,Female50000To59999,Female60000To79999,Female80000To99999,Female100000To124999,Female125000AndOver
10001,Avalon,66685,4845,5295,6230,7845,9740,8845,5760,4100,5505,2840,1220,1320,32510,2055,1555,2040,3010,4255,4615,3465,2630,3420,1975,985,1175,34180,2790,3740,4190,4835,5485,4230,2290,1475,2085,860,240,145
10002,Bonavista--Burin--Trinity,65810,5010,5210,7990,11525,12540,7325,4085,2695,2975,1625,885,660,32430,1940,1520,2645,4945,6100,4785,2640,1925,2065,1235,765,595,33380,3075,3690,5350,6575,6435,2540,1440,765,910,395,120,65
10003,Coast of Bays--Central--Notre Dame,65760,4565,6080,8490,9690,11320,7425,4795,2800,3425,1885,990,700,31980,1730,1810,2795,3995,5610,4730,3245,1865,2095,1295,820,590,33785,2845,4275,5695,5690,5710,2695,1550,935,1330,595,170,110
10004,Labrador,21230,1770,1420,1525,1835,2930,2285,1605,1370,1945,1570,1175,710,10730,730,565,645,665,1170,1070,705,815,1130,1130,1055,655,10495,1040,850,880,1170,1765,1220,900,555,815,435,115,55
10005,Long Range Mountains,74555,5790,5930,8425,11245,12930,8850,5900,3375,4305,2350,790,740,35935,2590,2040,3020,4470,5945,5315,3565,2060,2570,1490,630,685,38620,3205,3895,5395,6775,6985,3530,2330,1320,1735,860,165,55
10006,St. John's East,67730,5680,5300,5645,5420,9135,7835,6130,4755,6635,3925,1935,2760,32405,2715,2240,2235,1910,3875,3465,2910,2445,3665,2265,1325,2205,35325,2970,3060,3405,3510,5265,4370,3220,2310,2970,1660,610,555
10007,St. John's South--Mount Pearl,69275,4770,5245,6105,6465,10455,9480,6820,4945,6115,2875,1565,1535,32510,2100,2025,2245,2210,4455,4295,3490,2875,3310,1645,1245,1320,36765,2675,3225,3860,4255,6000,5190,3330,2075,2805,1230,325,220
11001,Cardigan,29335,2360,2290,2405,2910,5190,4535,2880,2120,2115,815,360,335,14375,1270,795,1040,1190,2345,2280,1510,1220,1200,585,280,280,14955,1095,1500,1365,1720,2845,2250,1370,900,920,225,80,50
11002,Charlottetown,28490,2415,2285,3040,2710,4195,3575,2870,2210,2135,860,560,580,13120,1115,1010,1170,985,1840,1520,1500,1175,995,475,315,470,15375,1300,1275,1870,1720,2360,2055,1365,1035,1140,380,245,110
11003,Egmont,27865,2030,1940,2725,3320,5325,4255,3155,1595,1585,425,235,210,13490,995,725,965,1265,2455,2440,1575,985,920,320,180,175,14375,1030,1210,1760,2050,2865,1810,1585,610,665,105,55,30
11004,Malpeque,28510,2375,2195,2245,2690,4690,4245,3410,2130,2235,630,395,410,13920,1080,625,730,1130,2235,2205,1885,1240,1390,450,300,310,14595,1300,1570,1510,1560,2455,2040,1530,895,840,185,95,100
12001,Cape Breton--Canso,63415,4570,6515,6035,7650,10275,7925,5880,3790,4740,1835,760,550,30585,2160,2205,2040,3020,4795,4035,3400,2505,2810,1185,570,480,32830,2410,4315,3995,4625,5480,3890,2480,1290,1935,645,190,70
12002,Central Nova,62380,4690,5265,5840,6770,9945,8280,6275,3930,4490,2130,935,875,30215,1965,2025,2070,2585,4175,4135,3550,2615,2970,1400,680,715,32170,2725,3245,3775,4185,5765,4145,2730,1310,1520,730,255,165
12003,Cumberland--Colchester,67975,5830,6475,6545,7520,11055,9360,6100,4265,4535,1725,610,755,32555,2505,1900,2220,3155,4605,5015,4030,2685,2855,1185,430,620,35425,3325,4580,4320,4370,6445,4340,2070,1580,1685,540,175,135
12004,Dartmouth--Cole Harbour,76255,5755,5610,6315,6295,10290,9695,8205,6165,8015,3665,1600,1475,36000,2525,2085,1960,2140,4285,4235,4115,3515,4835,2575,1130,1165,40260,3230,3525,4355,4155,6000,5460,4090,2650,3180,1095,470,310
