Geo_Code,FED_Name,Under5000Pct,5000To9999Pct,10000To14999Pct,15000To19999Pct,20000To29999Pct,30000To39999Pct,40000To49999Pct,50000To59999Pct,60000To79999Pct,80000To99999Pct,100000To124999Pct,125000AndOverPct,MaleUnder5000Pct,Male5000To9999Pct,Male10000To14999Pct,Male15000To19999Pct,Male20000To29999Pct,Male30000To39999Pct,Male40000To49999Pct,Male50000To59999Pct,Male60000To79999Pct,Male80000To99999Pct,Male100000To124999Pct,Male125000AndOverPct,FemaleTotIncome2010Pop15YearsAndOver,FemaleUnder5000Pct,Female5000To9999Pct,Female10000To14999Pct,Female15000To19999Pct,Female20000To29999Pct,Female30000To39999Pct,Female40000To49999Pct,Female50000To59999Pct,Female60000To79999Pct,Female80000To99999Pct,Female100000To124999Pct,Female125000AndOverPct
10001,Avalon,7.266,7.94,9.342,11.764,14.606,13.264,8.638,6.148,8.255,4.259,1.829,1.979,6.321,4.783,6.275,9.259,13.088,14.196,10.658,8.09,10.52,6.075,3.03,3.614,34180,8.163,10.942,12.259,14.146,16.047,12.376,6.7,4.315,6.1,2.516,0.702,0.424
10002,Bonavista--Burin--Trinity,7.613,7.917,12.141,17.513,19.055,11.131,6.207,4.095,4.521,2.469,1.345,1.003,5.982,4.687,8.156,15.248,18.81,14.755,8.141,5.936,6.368,3.808,2.359,1.835,33380,9.212,11.055,16.028,19.697,19.278,7.609,4.314,2.292,2.726,1.183,0.359,0.195
10003,Coast of Bays--Central--Notre Dame,6.942,9.246,12.911,14.735,17.214,11.291,7.292,4.258,5.208,2.866,1.505,1.064,5.41,5.66,8.74,12.492,17.542,14.79,10.147,5.832,6.551,4.049,2.564,1.845,33785,8.421,12.654,16.857,16.842,16.901,7.977,4.588,2.768,3.937,1.761,0.503,0.326
10004,Labrador,8.337,6.689,7.183,8.643,13.801,10.763,7.56,6.453,9.162,7.395,5.535,3.344,6.803,5.266,6.011,6.198,10.904,9.972,6.57,7.596,10.531,10.531,9.832,6.104,10495,9.909,8.099,8.385,11.148,16.818,11.625,8.576,5.288,7.766,4.145,1.096,0.524
10005,Long Range Mountains,7.766,7.954,11.3,15.083,17.343,11.87,7.914,4.527,5.774,3.152,1.06,0.993,7.207,5.677,8.404,12.439,16.544,14.791,9.921,5.733,7.152,4.146,1.753,1.906,38620,8.299,10.085,13.969,17.543,18.086,9.14,6.033,3.418,4.492,2.227,0.427,0.142
10006,St. John's East,8.386,7.825,8.335,8.002,13.487,11.568,9.051,7.021,9.796,5.795,2.857,4.075,8.378,6.913,6.897,5.894,11.958,10.693,8.98,7.545,11.31,6.99,4.089,6.805,35325,8.408,8.662,9.639,9.936,14.904,12.371,9.115,6.539,8.408,4.699,1.727,1.571
10007,St. John's South--Mount Pearl,6.886,7.571,8.813,9.332,15.092,13.685,9.845,7.138,8.827,4.15,2.259,2.216,6.46,6.229,6.906,6.798,13.703,13.211,10.735,8.843,10.181,5.06,3.83,4.06,36765,7.276,8.772,10.499,11.574,16.32,14.117,9.058,5.644,7.63,3.346,0.884,0.598
11001,Cardigan,8.045,7.806,8.198,9.92,17.692,15.459,9.818,7.227,7.21,2.778,1.227,1.142,8.835,5.53,7.235,8.278,16.313,15.861,10.504,8.487,8.348,4.07,1.948,1.948,14955,7.322,10.03,9.127,11.501,19.024,15.045,9.161,6.018,6.152,1.505,0.535,0.334
11002,Charlottetown,8.477,8.02,10.67,9.512,14.724,12.548,10.074,7.757,7.494,3.019,1.966,2.036,8.498,7.698,8.918,7.508,14.024,11.585,11.433,8.956,7.584,3.62,2.401,3.582,15375,8.455,8.293,12.163,11.187,15.35,13.366,8.878,6.732,7.415,2.472,1.593,0.715
11003,Egmont,7.285,6.962,9.779,11.915,19.11,15.27,11.322,5.724,5.688,1.525,0.843,0.754,7.376,5.374,7.153,9.377,18.199,18.087,11.675,7.302,6.82,2.372,1.334,1.297,14375,7.165,8.417,12.243,14.261,19.93,12.591,11.026,4.243,4.626,0.73,0.383,0.209
11004,Malpeque,8.33,7.699,7.874,9.435,16.45,14.89,11.961,7.471,7.839,2.21,1.385,1.438,7.759,4.49,5.244,8.118,16.056,15.841,13.542,8.908,9.986,3.233,2.155,2.227,14595,8.907,10.757,10.346,10.689,16.821,13.977,10.483,6.132,5.755,1.268,0.651,0.685
12001,Cape Breton--Canso,7.206,10.274,9.517,12.063,16.203,12.497,9.272,5.977,7.475,2.894,1.198,0.867,7.062,7.209,6.67,9.874,15.678,13.193,11.117,8.19,9.188,3.874,1.864,1.569,32830,7.341,13.143,12.169,14.088,16.692,11.849,7.554,3.929,5.894,1.965,0.579,0.213
12002,Central Nova,7.518,8.44,9.362,10.853,15.943,13.273,10.059,6.3,7.198,3.415,1.499,1.403,6.503,6.702,6.851,8.555,13.818,13.685,11.749,8.655,9.83,4.633,2.251,2.366,32170,8.471,10.087,11.735,13.009,17.92,12.885,8.486,4.072,4.725,2.269,0.793,0.513
12003,Cumberland--Colchester,8.577,9.526,9.629,11.063,16.263,13.77,8.974,6.274,6.672,2.538,0.897,1.111,7.695,5.836,6.819,9.691,14.145,15.405,12.379,8.248,8.77,3.64,1.321,1.904,35425,9.386,12.929,12.195,12.336,18.193,12.251,5.843,4.46,4.757,1.524,0.494,0.381
12004,Dartmouth--Cole Harbour,7.547,7.357,8.281,8.255,13.494,12.714,10.76,8.085,10.511,4.806,2.098,1.934,7.014,5.792,5.444,5.944,11.903,11.764,11.431,9.764,13.431,7.153,3.139,3.236,40260,8.023,8.756,10.817,10.32,14.903,13.562,10.159,6.582,7.899,2.72,1.167,0.77
12005,Halifax,10.744,8.563,8.841,8.645,13.584,11.124,9.024,6.469,9.587,4.351,2.207,3.187,11.995,7.255,7.441,7.441,12.287,9.811,9.228,7.414,11.294,5.243,2.754,4.713,41300,9.588,9.758,10.133,9.746,14.77,12.324,8.838,5.617,8.027,3.523,1.707,1.804
12006,Halifax West,7.824,7.15,7.651,7.88,11.997,12.623,9.626,7.372,11.977,5.606,2.838,3.158,7.966,5.591,5.089,6.535,10.533,11.093,9.559,7.833,14.191,7.42,4.617,5.34,37990,7.713,8.568,9.95,9.068,13.306,13.991,9.687,6.962,10.016,3.988,1.25,1.211
12007,Kings--Hants,8.766,9.246,8.649,9.995,14.549,13.123,9.82,6.991,8.249,3.048,1.411,1.04,7.762,5.836,6.528,8.032,13.583,12.38,12.289,9.176,11.567,4.558,2.031,1.685,35490,9.707,12.44,10.623,11.834,15.455,13.821,7.509,4.959,5.142,1.634,0.831,0.423
12008,Sackville--Preston--Chezzetcook,8.592,7.383,7.707,6.606,12.212,12.737,10.665,8.369,11.241,5.541,2.137,1.842,8.114,4.904,4.447,5.448,9.94,11.618,11.486,9.807,15.094,7.922,3.357,3.254,35525,9.064,9.754,10.809,7.727,14.398,13.807,9.866,6.995,7.558,3.265,0.985,0.493
12009,South Shore--St. Margarets,8.931,8.651,9.58,11.362,14.882,12.673,9.236,6.55,7.721,2.998,1.451,1.248,7.441,5.22,6.856,9.583,14.232,13.661,11.609,8.869,10.206,4.532,2.182,2.026,40040,10.365,11.951,12.2,13.074,15.497,11.713,6.968,4.308,5.32,1.511,0.737,0.487
12010,Sydney--Victoria,8.156,10.823,10.272,10.757,18.091,12.444,7.671,5.704,6.724,2.379,0.864,0.815,8.849,8.709,7.184,9.69,17.61,12.739,8.936,7.237,8.078,3.101,1.384,1.419,32215,7.543,12.696,13.006,11.703,18.516,12.184,6.55,4.361,5.541,1.738,0.404,0.279
12011,West Nova,8.588,9.444,10.45,12.52,16.631,13.08,8.509,5.311,6.785,2.012,0.949,0.719,7.637,6.244,7.667,10.123,15.933,15.184,10.976,7.233,8.955,2.86,1.512,1.318,36180,9.467,12.396,13.018,14.746,17.275,11.153,6.247,3.552,4.782,1.23,0.428,0.18
