Geo_Code,FED_Name,TotBuddhistPct,TotChristianPct,TotAnglicanPct,TotBaptistPct,TotCatholicPct,TotChristianOrthodoxPct,TotLutheranPct,TotPentecostalPct,TotPresbyterianPct,TotUnitedChurchPct,TotOtherChristianPct,TotHinduPct,TotJewishPct,TotMuslimPct,TotSikhPct,TotAboriginalPct,TotOtherPct,TotNoReligiousAffiliationPct,MaleBuddhistPct,MaleChristianPct,MaleAnglicanPct,MaleBaptistPct,MaleCatholicPct,MaleChristianOrthodoxPct,MaleLutheranPct,MalePentecostalPct,MalePresbyterianPct,MaleUnitedChurchPct,MaleOtherChristianPct,MaleHinduPct,MaleJewishPct,MaleMuslimPct,MaleSikhPct,MaleAboriginalPct,MaleOtherPct,MaleNoReligiousAffiliationPct,FemaleBuddhistPct,FemaleChristianPct,FemaleAnglicanPct,FemaleBaptistPct,FemaleCatholicPct,FemaleChristianOrthodoxPct,FemaleLutheranPct,FemalePentecostalPct,FemalePresbyterianPct,FemaleUnitedChurchPct,FemaleOtherChristianPct,FemaleHinduPct,FemaleJewishPct,FemaleMuslimPct,FemaleSikhPct,FemaleAboriginalPct,FemaleOtherPct,FemaleNoReligiousAffiliationPct
10001,Avalon,0.0749,95.6522,30.1853,0.131,42.9792,0,0.0312,3.5182,0.1622,13.5487,5.0964,0,0,0.025,0,0,0.0811,4.1482,0.063,95.145,29.647,0.139,43.09,0,0,3.304,0.189,13.821,4.918,0,0,0,0,0,0.038,4.691,0.0988,96.1363,30.7123,0.1234,42.8836,0,0,3.7156,0.1234,13.2823,5.2833,0,0,0,0,0,0.1111,3.6168
10002,Bonavista--Burin--Trinity,0.0197,96.9984,27.1919,0.1382,22.0511,0.0461,0.0592,4.8578,0.079,28.6862,13.8889,0,0.0329,0.0922,0,0,0,2.8436,0.027,96.505,26.774,0.16,22.038,0.053,0.107,4.736,0.107,28.682,13.847,0,0,0.093,0,0,0,3.322,0,97.4789,27.6023,0.117,22.0663,0,0,4.9773,0.052,28.694,13.9311,0,0,0.078,0,0,0,2.3652
10003,Coast of Bays--Central--Notre Dame,0.0586,92.9121,19.6417,0.1368,19.9088,0.0586,0,19.0423,0.202,15.127,18.7818,0.0456,0,0,0,0,0.215,6.7362,0.066,92.553,19.753,0.186,19.647,0,0,19.05,0.106,14.695,19.063,0,0,0,0,0,0.199,7.076,0.0384,93.2574,19.5496,0.0896,20.1638,0.064,0,19.0379,0.2815,15.5322,18.5005,0.064,0,0,0,0,0.2431,6.4099
10004,Labrador,0,93.3522,25.725,0.5461,28.4557,0.0942,0,9.5857,0.5085,12.1657,16.2524,0,0,0,0,0.0753,0,6.403,0,92.356,25.937,0.519,28.423,0.074,0,9.054,0.519,11.837,15.918,0,0,0,0,0.111,0,7.347,0,94.3807,25.4587,0.5734,28.5168,0,0,10.13,0.4587,12.5,16.6284,0,0,0,0,0.0765,0,5.4281
10005,Long Range Mountains,0.0173,95.3878,36.6836,0.1849,34.366,0,0.0867,6.5195,0.1387,10.5248,6.8836,0.0347,0,0.0694,0.0116,0,0.0867,4.3521,0,94.574,36.246,0.166,33.622,0,0.059,6.411,0.107,10.899,7.064,0,0,0.083,0,0,0.083,5.153,0,96.1482,37.0988,0.1915,35.0715,0,0.1126,6.6111,0.1802,10.1588,6.7125,0.0563,0,0.0676,0,0,0.0788,3.604
10006,St. John's East,0.2174,86.5698,18.5303,0.4348,44.6267,0.1242,0.2733,2.4351,0.9815,13.6104,5.5535,0.6212,0.087,0.9629,0.0994,0,0.2236,11.2064,0.333,84.876,18.415,0.448,43.783,0.205,0.359,2.356,0.96,13.113,5.199,0.666,0.128,1.242,0.154,0,0.282,12.358,0.1086,88.1877,18.6414,0.4223,45.4271,0.0603,0.1931,2.4976,0.9894,14.0806,5.876,0.5671,0.0483,0.7119,0.0603,0,0.181,10.1231
10007,St. John's South--Mount Pearl,0.1051,91.609,17.116,0.3215,51.8118,0.068,0.068,2.3807,0.4514,13.3935,5.9857,0.0495,0.0557,0.303,0,0,0.235,7.6428,0.065,89.942,15.951,0.324,50.552,0,0.065,2.167,0.389,13.666,6.788,0.065,0,0.311,0,0,0.247,9.345,0.1417,93.1153,18.1861,0.3188,52.9405,0.0827,0.0709,2.5862,0.5196,13.1436,5.2669,0.0472,0.1063,0.2834,0,0,0.2126,6.0935
11001,Cardigan,0.2251,88.0962,3.2081,5.3046,46.4894,0,0.1548,1.393,8.1328,12.4384,10.9329,0.1548,0.0422,0.1407,0,0,0,11.2846,0.228,85.755,2.507,5.043,46.496,0,0,1.225,7.892,12.051,10.456,0.199,0,0.142,0,0,0,13.675,0.2225,90.4338,3.8932,5.5617,46.4683,0,0,1.5573,8.3704,12.8476,11.3737,0.139,0,0.1669,0,0.0556,0,8.9544
11002,Charlottetown,1.2157,75.4015,4.1423,3.707,39.5768,0.7354,0.1201,0.3452,6.2434,11.3312,9.2301,0.3602,0.2101,1.5759,0.03,0,0.4052,20.8014,1.396,72.509,4.284,3.505,37.877,0.682,0.097,0.325,5.875,11.36,8.439,0.389,0,1.785,0,0,0.292,23.596,1.0329,77.8894,3.9922,3.8805,41.0106,0.7817,0.1117,0.3629,6.5606,11.3065,9.8827,0.3629,0.335,1.4238,0.0558,0,0.5025,18.3975
11003,Egmont,0,87.7292,3.903,2.9716,50.2809,0.0887,0.1478,1.3897,3.9474,16.3808,8.6044,0.0739,0,0.2218,0,0.1331,0.1478,11.6499,0,86.094,3.869,3.023,48.609,0,0.181,1.693,3.476,16.505,8.585,0,0,0.272,0,0.121,0.212,13.12,0,89.2392,3.934,2.9216,51.8369,0,0.1446,1.0703,4.3969,16.2858,8.5913,0,0,0.2025,0,0.1157,0,10.269
11004,Malpeque,0.2017,85.0886,5.7052,4.9849,35.1246,0,0.3314,0.5619,7.2612,21.3226,9.7969,0,0,0,0,0,0.4178,14.2199,0.235,83.397,5.525,5.025,33.676,0,0.353,0.441,7.846,21.569,8.933,0,0,0,0,0,0.411,15.868,0.1413,86.6912,5.9339,4.9449,36.451,0,0.3391,0.7064,6.6968,21.1077,10.568,0,0,0,0,0,0.4238,12.6307
12001,Cape Breton--Canso,0.0875,91.4155,6.7008,1.9712,65.0363,0.1278,0.2018,0.3162,2.8256,10.4548,3.7877,0,0.0404,0.1278,0,0.1547,0.0807,8.0867,0.055,89.974,6.933,1.864,64.038,0.221,0.055,0.304,2.914,9.764,3.881,0,0.041,0.083,0,0.166,0.028,9.612,0.118,92.7859,6.4795,2.0724,65.9759,0.0393,0.3279,0.341,2.7413,11.0965,3.6857,0,0.0393,0.1705,0,0.1312,0.1312,6.6369
12002,Central Nova,0.1358,81.3332,10.725,3.9031,34.4828,0.1086,0.1697,0.8553,11.5124,13.6166,5.9598,0.0679,0.0204,0.0339,0,0.0272,0.1901,18.1917,0.084,79.385,10.922,3.589,33.827,0.14,0.126,0.768,11.439,12.793,5.796,0,0,0.056,0,0.028,0.196,20.209,0.1849,83.1858,10.5402,4.187,35.1209,0.0925,0.2113,0.9246,11.5705,14.4102,6.1154,0.1057,0,0,0,0,0.1849,16.2726
12003,Cumberland--Colchester,0.0685,73.5439,7.4316,11.6738,16.2524,0.1682,0.1931,1.221,3.0212,25.4158,8.1667,0.137,0,0.0249,0,0.0498,0.299,25.8706,0.051,70.746,7.117,11.39,16.165,0.257,0.27,1.133,2.664,23.655,8.121,0.103,0,0.039,0,0.051,0.193,28.829,0.0845,76.1681,7.7508,11.9401,16.3226,0.0845,0.1087,1.3159,3.3563,27.0796,8.2096,0.169,0,0,0,0.0483,0.3984,23.0955
