Geo_Code,Prov_Name,FED_Name,GNR,Topic,Characteristic,Total,Male,Female
10001,Newfoundland and Labrador,Avalon,34.1,Household characteristics,Total number of private households by age group of primary household maintainers,31745,,
10001,Newfoundland and Labrador,Avalon,34.1,Household characteristics,Under 25 years,505,,
10001,Newfoundland and Labrador,Avalon,34.1,Household characteristics,25 to 34 years,3555,,
10001,Newfoundland and Labrador,Avalon,34.1,Household characteristics,35 to 44 years,5855,,
10001,Newfoundland and Labrador,Avalon,34.1,Household characteristics,45 to 54 years,7170,,
10001,Newfoundland and Labrador,Avalon,34.1,Household characteristics,55 to 64 years,7550,,
10001,Newfoundland and Labrador,Avalon,34.1,Household characteristics,65 to 74 years,4305,,
10001,Newfoundland and Labrador,Avalon,34.1,Household characteristics,75 years and over,2810,,
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Household characteristics,Total number of private households by age group of primary household maintainers,31740,,
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Household characteristics,Under 25 years,430,,
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Household characteristics,25 to 34 years,2445,,
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Household characteristics,35 to 44 years,4810,,
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Household characteristics,45 to 54 years,6635,,
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Household characteristics,55 to 64 years,8010,,
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Household characteristics,65 to 74 years,5400,,
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Household characteristics,75 years and over,4000,,
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Household characteristics,Total number of private households by age group of primary household maintainers,32230,,
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Household characteristics,Under 25 years,505,,
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Household characteristics,25 to 34 years,3105,,
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Household characteristics,35 to 44 years,5345,,
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Household characteristics,45 to 54 years,6800,,
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Household characteristics,55 to 64 years,7410,,
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Household characteristics,65 to 74 years,5310,,
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Household characteristics,75 years and over,3755,,
10004,Newfoundland and Labrador,Labrador,29,Household characteristics,Total number of private households by age group of primary household maintainers,9685,,
10004,Newfoundland and Labrador,Labrador,29,Household characteristics,Under 25 years,345,,
10004,Newfoundland and Labrador,Labrador,29,Household characteristics,25 to 34 years,1785,,
10004,Newfoundland and Labrador,Labrador,29,Household characteristics,35 to 44 years,2225,,
10004,Newfoundland and Labrador,Labrador,29,Household characteristics,45 to 54 years,2245,,
10004,Newfoundland and Labrador,Labrador,29,Household characteristics,55 to 64 years,1835,,
10004,Newfoundland and Labrador,Labrador,29,Household characteristics,65 to 74 years,935,,
10004,Newfoundland and Labrador,Labrador,29,Household characteristics,75 years and over,310,,
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Household characteristics,Total number of private households by age group of primary household maintainers,36390,,
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Household characteristics,Under 25 years,805,,
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Household characteristics,25 to 34 years,3195,,
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Household characteristics,35 to 44 years,5730,,
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Household characteristics,45 to 54 years,8020,,
