Geo_Code,Prov_Name,FED_Name,GNR,Topic,Characteristic,Total,Male,Female
10001,Newfoundland and Labrador,Avalon,34.1,Education,"Total population aged 15 years and over by highest certificate, diploma or degree",66685,32505,34175
10001,Newfoundland and Labrador,Avalon,34.1,Education,"No certificate, diploma or degree",16225,8015,8215
10001,Newfoundland and Labrador,Avalon,34.1,Education,High school diploma or equivalent,15635,7165,8475
10001,Newfoundland and Labrador,Avalon,34.1,Education,"Postsecondary certificate, diploma or degree",34825,17335,17495
10001,Newfoundland and Labrador,Avalon,34.1,Education,Apprenticeship or trades certificate or diploma,10195,6735,3460
10001,Newfoundland and Labrador,Avalon,34.1,Education,"College, CEGEP or other non-university certificate or diploma",14705,6380,8325
10001,Newfoundland and Labrador,Avalon,34.1,Education,University certificate or diploma below bachelor level,1900,900,995
10001,Newfoundland and Labrador,Avalon,34.1,Education,"University certificate, diploma or degree at bachelor level or above",8025,3315,4710
10001,Newfoundland and Labrador,Avalon,34.1,Education,Bachelor's degree,5610,2205,3400
10001,Newfoundland and Labrador,Avalon,34.1,Education,"University certificate, diploma or degree above bachelor level",2420,1110,1310
10001,Newfoundland and Labrador,Avalon,34.1,Education,"Total population aged 25 to 64 years by highest certificate, diploma or degree",47250,22720,24535
10001,Newfoundland and Labrador,Avalon,34.1,Education,"No certificate, diploma or degree",7585,3820,3765
10001,Newfoundland and Labrador,Avalon,34.1,Education,High school diploma or equivalent,10100,4585,5515
10001,Newfoundland and Labrador,Avalon,34.1,Education,"Postsecondary certificate, diploma or degree",29565,14315,15255
10001,Newfoundland and Labrador,Avalon,34.1,Education,Apprenticeship or trades certificate or diploma,8395,5280,3120
10001,Newfoundland and Labrador,Avalon,34.1,Education,"College, CEGEP or other non-university certificate or diploma",12685,5505,7185
10001,Newfoundland and Labrador,Avalon,34.1,Education,University certificate or diploma below bachelor level,1510,735,775
10001,Newfoundland and Labrador,Avalon,34.1,Education,"University certificate, diploma or degree at bachelor level or above",6970,2800,4170
10001,Newfoundland and Labrador,Avalon,34.1,Education,Bachelor's degree,4870,1915,2960
10001,Newfoundland and Labrador,Avalon,34.1,Education,"University certificate, diploma or degree above bachelor level",2095,885,1220
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Education,"Total population aged 15 years and over by highest certificate, diploma or degree",65815,32435,33380
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Education,"No certificate, diploma or degree",25275,12310,12970
