Geo_Code,Prov_Name,FED_Name,GNR,Topic,Characteristic,Total,Male,Female
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,Total population in private households by visible minority,80155,39650,40505
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,Total visible minority population,455,255,205
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,South Asian,90,50,45
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,Chinese,180,105,75
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,Black,80,45,30
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,Filipino,45,0,0
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,Latin American,0,0,0
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,Arab,0,0,0
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,Southeast Asian,0,0,0
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,West Asian,0,0,0
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,Korean,0,0,0
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,Japanese,0,0,0
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,"Visible minority, n.i.e.",0,0,0
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,Multiple visible minorities,15,0,0
10001,Newfoundland and Labrador,Avalon,34.1,Visible minority population,Not a visible minority,79695,39400,40300
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,Total population in private households by visible minority,75955,37485,38475
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,Total visible minority population,460,260,200
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,South Asian,95,60,40
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,Chinese,65,40,30
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,Black,90,45,45
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,Filipino,0,0,0
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,Latin American,0,0,0
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,Arab,60,35,25
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,Southeast Asian,35,0,0
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,West Asian,0,0,0
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,Korean,0,0,0
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,Japanese,0,0,0
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,"Visible minority, n.i.e.",60,35,0
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,Multiple visible minorities,20,0,10
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Visible minority population,Not a visible minority,75495,37225,38275
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,Total population in private households by visible minority,76750,37665,39080
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,Total visible minority population,560,245,320
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,South Asian,105,70,30
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,Chinese,210,90,125
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,Black,85,40,50
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,Filipino,55,10,45
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,Latin American,0,0,0
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,Arab,50,0,35
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,Southeast Asian,0,0,0
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,West Asian,0,0,0
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,Korean,0,0,0
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,Japanese,0,0,0
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,"Visible minority, n.i.e.",30,0,0
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,Multiple visible minorities,10,0,0
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Visible minority population,Not a visible minority,76190,37425,38765
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,Total population in private households by visible minority,26550,13470,13075
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,Total visible minority population,335,135,205
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,South Asian,130,50,80
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,Chinese,15,0,0
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,Black,55,15,35
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,Filipino,60,0,30
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,Latin American,10,0,0
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,Arab,0,0,0
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,Southeast Asian,0,0,0
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,West Asian,0,0,0
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,Korean,0,0,0
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,Japanese,0,0,0
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,"Visible minority, n.i.e.",20,0,15
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,Multiple visible minorities,0,0,0
10004,Newfoundland and Labrador,Labrador,29,Visible minority population,Not a visible minority,26215,13340,12870
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,Total population in private households by visible minority,86510,42115,44395
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,Total visible minority population,465,245,225
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,South Asian,155,80,80
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,Chinese,45,20,25
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,Black,95,45,45
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,Filipino,65,45,25
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,Latin American,0,0,0
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,Arab,40,0,0
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,Southeast Asian,0,0,0
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,West Asian,0,0,0
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,Korean,0,0,0
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,Japanese,0,0,0
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,"Visible minority, n.i.e.",20,15,0
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,Multiple visible minorities,30,10,25
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Visible minority population,Not a visible minority,86040,41870,44175
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,Total population in private households by visible minority,80485,39045,41440
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,Total visible minority population,3460,2005,1450
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,South Asian,1050,600,450
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,Chinese,910,475,435
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,Black,595,380,210
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,Filipino,85,50,35
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,Latin American,105,65,40
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,Arab,135,85,55
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,Southeast Asian,200,145,60
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,West Asian,145,85,60
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,Korean,0,0,0
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,Japanese,45,35,0
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,"Visible minority, n.i.e.",30,0,0
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,Multiple visible minorities,135,70,65
10006,Newfoundland and Labrador,St. John's East,27.8,Visible minority population,Not a visible minority,77030,37045,39985
10007,Newfoundland and Labrador,St. John's South--Mount Pearl,29.5,Visible minority population,Total population in private households by visible minority,80860,38520,42340
10007,Newfoundland and Labrador,St. John's South--Mount Pearl,29.5,Visible minority population,Total visible minority population,1190,610,580
10007,Newfoundland and Labrador,St. John's South--Mount Pearl,29.5,Visible minority population,South Asian,230,135,95
