Geo_Code,Prov_Name,FED_Name,GNR,Topic,Characteristic,Total,Male,Female
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,Total income in 2010 of population aged 15 years and over,66685,32510,34180
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"Under $5,000",4845,2055,2790
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$5,000 to $9,999",5295,1555,3740
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$10,000 to $14,999",6230,2040,4190
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$15,000 to $19,999",7845,3010,4835
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$20,000 to $29,999",9740,4255,5485
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$30,000 to $39,999",8845,4615,4230
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$40,000 to $49,999",5760,3465,2290
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$50,000 to $59,999",4100,2630,1475
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$60,000 to $79,999",5505,3420,2085
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$80,000 to $99,999",2840,1975,860
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$100,000 and over",2540,2160,380
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$100,000 to $124,999",1220,985,240
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$125,000 and over",1320,1175,145
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,After-tax income in 2010 of population 15 years and over,66690,32510,34180
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"Under $5,000",4945,2070,2875
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$5,000 to $9,999",5385,1565,3820
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$10,000 to $14,999",6505,2105,4395
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$15,000 to $19,999",8855,3540,5315
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$20,000 to $29,999",11555,5365,6185
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$30,000 to $39,999",9635,5320,4315
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$40,000 to $49,999",6075,3895,2180
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$50,000 to $59,999",3870,2415,1455
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$60,000 to $79,999",4470,2985,1490
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$80,000 to $99,999",1210,1040,170
10001,Newfoundland and Labrador,Avalon,34.1,Income of individuals in 2010,"$100,000 and over",1030,890,140
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,Total income in 2010 of population aged 15 years and over,65810,32430,33380
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"Under $5,000",5010,1940,3075
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$5,000 to $9,999",5210,1520,3690
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$10,000 to $14,999",7990,2645,5350
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$15,000 to $19,999",11525,4945,6575
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$20,000 to $29,999",12540,6100,6435
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$30,000 to $39,999",7325,4785,2540
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$40,000 to $49,999",4085,2640,1440
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$50,000 to $59,999",2695,1925,765
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$60,000 to $79,999",2975,2065,910
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$80,000 to $99,999",1625,1235,395
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$100,000 and over",1545,1360,185
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$100,000 to $124,999",885,765,120
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$125,000 and over",660,595,65
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,After-tax income in 2010 of population 15 years and over,65815,32435,33380
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"Under $5,000",5115,1955,3160
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$5,000 to $9,999",5260,1520,3735
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$10,000 to $14,999",8500,2865,5640
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$15,000 to $19,999",12465,5365,7095
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$20,000 to $29,999",13775,7365,6410
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$30,000 to $39,999",7390,4640,2745
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$40,000 to $49,999",4110,3060,1050
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$50,000 to $59,999",2220,1480,740
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$60,000 to $79,999",2405,1770,635
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$80,000 to $99,999",780,690,90
10002,Newfoundland and Labrador,Bonavista--Burin--Trinity,34.3,Income of individuals in 2010,"$100,000 and over",505,450,60
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,Total income in 2010 of population aged 15 years and over,65760,31980,33785
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"Under $5,000",4565,1730,2845
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$5,000 to $9,999",6080,1810,4275
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$10,000 to $14,999",8490,2795,5695
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$15,000 to $19,999",9690,3995,5690
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$20,000 to $29,999",11320,5610,5710
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$30,000 to $39,999",7425,4730,2695
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$40,000 to $49,999",4795,3245,1550
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$50,000 to $59,999",2800,1865,935
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$60,000 to $79,999",3425,2095,1330
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$80,000 to $99,999",1885,1295,595
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$100,000 and over",1685,1405,280
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$100,000 to $124,999",990,820,170
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$125,000 and over",700,590,110
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,After-tax income in 2010 of population 15 years and over,65760,31980,33785
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"Under $5,000",4665,1745,2925
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$5,000 to $9,999",6220,1860,4355
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$10,000 to $14,999",8800,2900,5900
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$15,000 to $19,999",10620,4420,6200
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$20,000 to $29,999",12455,6705,5750
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$30,000 to $39,999",8075,5205,2870
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$40,000 to $49,999",4240,2900,1340
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$50,000 to $59,999",2630,1650,980
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$60,000 to $79,999",2960,1970,990
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$80,000 to $99,999",960,775,185
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Income of individuals in 2010,"$100,000 and over",520,440,75
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,Total income in 2010 of population aged 15 years and over,21230,10730,10495
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"Under $5,000",1770,730,1040
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$5,000 to $9,999",1420,565,850
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$10,000 to $14,999",1525,645,880
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$15,000 to $19,999",1835,665,1170
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$20,000 to $29,999",2930,1170,1765
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$30,000 to $39,999",2285,1070,1220
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$40,000 to $49,999",1605,705,900
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$50,000 to $59,999",1370,815,555
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$60,000 to $79,999",1945,1130,815
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$80,000 to $99,999",1570,1130,435
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$100,000 and over",1885,1710,175
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$100,000 to $124,999",1175,1055,115
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$125,000 and over",710,655,55
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,After-tax income in 2010 of population 15 years and over,21235,10730,10500
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"Under $5,000",1780,730,1050
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$5,000 to $9,999",1395,570,830
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$10,000 to $14,999",1680,670,1010
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$15,000 to $19,999",2100,755,1350
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$20,000 to $29,999",3265,1405,1860
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$30,000 to $39,999",2595,1150,1445
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$40,000 to $49,999",1775,1035,740
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$50,000 to $59,999",1460,905,555
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$60,000 to $79,999",2455,1665,785
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$80,000 to $99,999",1060,955,100
10004,Newfoundland and Labrador,Labrador,29,Income of individuals in 2010,"$100,000 and over",550,500,50
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,Total income in 2010 of population aged 15 years and over,74555,35935,38620
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"Under $5,000",5790,2590,3205
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"$5,000 to $9,999",5930,2040,3895
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"$10,000 to $14,999",8425,3020,5395
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"$15,000 to $19,999",11245,4470,6775
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"$20,000 to $29,999",12930,5945,6985
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"$30,000 to $39,999",8850,5315,3530
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"$40,000 to $49,999",5900,3565,2330
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"$50,000 to $59,999",3375,2060,1320
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"$60,000 to $79,999",4305,2570,1735
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"$80,000 to $99,999",2350,1490,860
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"$100,000 and over",1535,1315,220
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"$100,000 to $124,999",790,630,165
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"$125,000 and over",740,685,55
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,After-tax income in 2010 of population 15 years and over,74555,35930,38620
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"Under $5,000",5845,2600,3240
10005,Newfoundland and Labrador,Long Range Mountains,32.4,Income of individuals in 2010,"$5,000 to $9,999",6090,2060,4030
