"DATE","TITLE","ACTIVITY"
"Jan 31, 2016 01:58","Candidates' Summary","FORTY-SECOND GENERAL ELECTION (October 19, 2015)"

SUMMARY_DATA
"Client_id","Name_of_candidate","Political_affiliation","Electoral_district","Name_of_official_agent","Number_of_contributors","Total_amount_of_contributions","Total_amount_of_loans","Total_amount_of_transfers_received","Total_amount_of_election_expenses_subject_to_limit","Election_expenses_limit","Total_of_candidates_personal_expenses","Other_expenses_and_Outflows","Name_of_auditor","Auditors_report_qualified"
"33026","Akpata, John Andrew Omowole","Marijuana Party","Ottawa Centre","Blair Longley","","","","","","","","","Rozon, Gary","N"
"30112","Albrecht, Harold","Conservative Party of Canada","Kitchener--Conestoga","Michael Ben","0","0","0","122000","120579.15","202562.28","0","30668.62","Ahier, Gordon Philip","N"
"30490","Ambrose, Rona","Conservative Party of Canada","Sturgeon River--Parkland","Dennis F Francis","93","39120","0","71000","100327.37","222470.71","703.65","4197.34","Rozon, Gary A.","N"
"33173","Amos, David Raymond","Independent","Fundy Royal","Madeline Estey Webb","","","","","","","","","Boudreau, Andrew","N"
"32873","Anstey, Harvey Edward","Canadian Action Party","Wellington--Halton Hills","Brenda Lee Anstey","","","","","","","","","Rozon, Gary","N"
"30514","Askin, Peggy","Marxist-Leninist Party of Canada","Calgary Midnapore","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30238","Aspin, Jay","Conservative Party of Canada","Nipissing--Timiskaming","Roger Courchaine","55","13505.42","0","110000","90142.78","218149.29","0","1068.63","Rozon, Gary Andrew","N"
"30596","Audet, Jean-Raymond","Independent","Sudbury","Dwight McLean","","","","","","","","","Manickam, Nara","N"
"30568","Baetz, Elaine","Marxist-Leninist Party of Canada","Kitchener South--Hespeler","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32878","Baldasaro, Michael James","Marijuana Party","Hamilton Centre","Blair Longley","","","","","","","","","Rozon, Gary","N"
"29712","Balkissoon, Dev","Conservative Party of Canada","Ottawa South","Peter H Foulger","76","12764","0","88100","89623.57","225034.63","3142.16","3216.95","Rozon, Gary","N"
"30798","Barker, Martin","Conservative Party of Canada","Cowichan--Malahat--Langford","Brian Mede","36","11639.86","0","61400","76583.03","214942.07","1285.84","5393.54","Rozon, Gary","N"
"32690","Beauséjour, Audrey","Bloc Québécois","Honoré-Mercier","Micheline Bergeron","0","0","0","15233.91","12795.65","213214.66","362.38","2075.88","Doyon, Louis","N"
"30924","Bédard, Jean-Paul","Marxist-Leninist Party of Canada","Saint-Maurice--Champlain","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30390","Bell, Jim","Conservative Party of Canada","Kildonan--St. Paul","Kaz Malkiewicz","51","17725","0","59500","78441.11","196949.8","0","300","Pinchin, Rick","N"
"30365","Bernardo, Beverly","No Affiliation","Papineau","John Steele","","","","","943.66","213091.49","","","Lavoie, Sylvain","N"
"32797","Bernier, Gabriel","Bloc Québécois","Lac-Saint-Louis","Micheline Bergeron","0","0","0","4391.97","4317.92","224522.81","100","0","Doyon, Louis","N"
"29735","Bernier, Maxime","Conservative Party of Canada","Beauce","Aline Drouin","117","25750","0","125166.03","140742.26","224222.11","5682.79","4955.74","Grondin, Jasmin","N"
"32708","Bezanson, Allan","Marxist-Leninist Party of Canada","Halifax","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30229","Bigland-Pritchard, Mark","Green Party of Canada","Saskatoon--Grasswood","Penny Swartz","0","0","0","3000","2839.31","194681.77","148.34","1","Campbell, Stacey","N"
"30758","Biley, Barbara","Marxist-Leninist Party of Canada","Courtenay--Alberni","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30438","Blanchard, Daniel","Marxist-Leninist Party of Canada","Calgary Skyview","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32812","Bossé Bélanger, Jade","Bloc Québécois","Mount Royal","Micheline Bergeron","0","0","0","198.94","198.94","207183.11","0","0","Doyon, Louis","N"
"30916","Boylan, Charles","Marxist-Leninist Party of Canada","Vancouver South","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30622","Breton, Yvon","Marxist-Leninist Party of Canada","Laval--Les Îles","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30398","Brunelle, Claude","Marxist-Leninist Party of Canada","Bourassa","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"29655","Burger, Patrick","New Democratic Party","Stormont--Dundas--South Glengarry","Elaine MacDonald","33","6065","0","16000","18573.24","212960.34","90.4","3401.36","Nayman, Bernard","N"
"33195","Campbell, Gordon","No Affiliation","Cariboo--Prince George","Jason Campbell","","","","","","","","","Gaboury, Theresa","N"
"30430","Cannan, Ron","Conservative Party of Canada","Kelowna--Lake Country","Lorne David Beloud","","","","76970.96","75299.16","228718.18","1205.76","","Rozon, Gary","N"
"29786","Carignan Deschamps, Sacki","Bloc Québécois","Saint-Maurice--Champlain","Jean-Guy Mercier","","","","","33394.83","269923.91","960.89","","Camirand, Stèphane","N"
"30387","Carter, Roger","Marxist-Leninist Party of Canada","Beaches--East York","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
