Province,Bloc Quebecois % Votes obtained (2015),Bloc Quebecois % Votes obtained (2011),Bloc Quebecois % Votes obtained (2008),Bloc Quebecois % Votes obtained (2006),Bloc Quebecois % Votes obtained (2004),Conservative % Votes obtained (2015),Conservative % Votes obtained (2011),Conservative % Votes obtained (2008),Conservative % Votes obtained (2006),Conservative % Votes obtained (2004),Green Party % Votes obtained (2015),Green Party % Votes obtained (2011),Green Party % Votes obtained (2008),Green Party % Votes obtained (2006),Green Party % Votes obtained (2004),Liberal % Votes obtained (2015),Liberal % Votes obtained (2011),Liberal % Votes obtained (2008),Liberal % Votes obtained (2006),Liberal % Votes obtained (2004),NDP % Votes obtained (2015),NDP % Votes obtained (2011),NDP % Votes obtained (2008),NDP % Votes obtained (2006),NDP % Votes obtained (2004),Other % Votes obtained (2015),Other % Votes obtained (2011),Other % Votes obtained (2008),Other % Votes obtained (2006),Other % Votes obtained (2004)
AB,0.0,0.0,0.0,0.0,0.0,59.5,66.8,64.6,65.0,61.7,2.5,5.3,8.8,6.5,6.1,24.6,9.3,11.4,15.3,22.0,11.6,16.8,12.7,11.6,9.5,1.8,1.8,2.5,1.6,0.7
BC,0.0,0.0,0.0,0.0,0.0,30.0,45.5,44.4,37.3,36.3,8.2,7.7,9.4,5.3,6.3,35.2,13.4,19.3,27.6,28.6,25.9,32.5,25.0,28.6,26.6,0.7,0.9,1.9,1.2,2.2
MB,0.0,0.0,0.0,0.0,0.0,37.3,53.5,48.8,42.8,39.1,3.2,3.6,6.8,3.9,2.7,44.6,16.6,19.1,26.0,33.2,13.8,25.8,24.0,25.4,23.5,1.1,0.5,1.3,1.9,1.5
NB,0.0,0.0,0.0,0.0,0.0,25.3,43.9,39.4,35.7,31.1,4.6,3.2,6.2,2.4,3.4,51.6,22.6,32.4,39.2,44.6,18.3,29.8,21.9,21.9,20.6,0.2,0.5,0.1,0.8,0.3
NL,0.0,0.0,0.0,0.0,0.0,10.3,28.4,16.5,42.7,32.3,1.1,0.9,1.7,0.9,1.6,64.5,37.9,46.6,42.8,48.0,21.0,32.6,33.9,13.6,17.5,3.1,0.2,1.3,0.0,0.6
NS,0.0,0.0,0.0,0.0,0.0,17.9,36.7,26.1,29.7,28.0,3.4,4.0,8.0,2.6,3.3,61.9,28.9,29.8,37.2,39.7,16.4,30.3,28.9,29.8,28.4,0.4,0.1,7.2,0.7,0.6
NT,0.0,0.0,0.0,0.0,0.0,18.0,32.1,37.6,19.8,17.2,2.8,3.1,5.5,2.1,4.3,48.3,18.4,13.6,34.9,39.4,30.8,45.8,41.5,42.1,39.1,0.1,0.6,1.8,1.1,0.0
NU,0.0,0.0,0.0,0.0,0.0,24.8,49.9,34.8,29.6,14.4,1.5,2.1,8.4,5.9,3.3,47.2,28.6,29.2,39.1,51.3,26.5,19.4,27.6,17.6,15.2,0.0,0.0,0.0,7.8,15.8
ON,0.0,0.0,0.0,0.0,0.0,35.0,44.4,39.2,35.1,31.5,2.9,3.8,8.0,4.7,4.4,44.8,25.3,33.8,39.9,44.7,16.6,25.6,18.2,19.4,18.1,0.7,0.9,0.8,0.9,1.3
PE,0.0,0.0,0.0,0.0,0.0,19.3,41.2,36.2,33.4,30.7,6.0,2.4,4.7,3.9,4.2,58.3,41.0,47.7,52.5,52.5,16.0,15.4,9.8,9.6,12.5,0.4,0.0,1.6,0.6,0.1
QC,19.3,23.4,38.1,42.1,48.9,16.7,16.5,21.7,24.6,8.8,2.3,2.1,3.5,4.0,3.2,35.7,14.2,23.7,20.7,33.9,25.4,42.9,12.2,7.5,4.6,0.6,0.9,0.8,1.1,0.6
SK,0.0,0.0,0.0,0.0,0.0,48.5,56.3,53.7,48.9,41.8,2.1,2.7,5.6,3.2,2.7,23.9,8.6,14.9,22.4,27.2,25.1,32.3,25.6,24.0,23.4,0.4,0.1,0.2,1.5,4.9
YT,0.0,0.0,0.0,0.0,0.0,24.0,33.8,32.8,23.7,20.9,2.9,18.9,13.0,4.0,4.6,53.6,33.0,45.3,48.5,45.7,19.5,14.4,9.0,23.9,25.7,0.0,-0.1,-0.1,0.0,3.1
